Rank,University,#,Position
86,Hochschule für Angewandte Wissenschaften Hamburg,48,15.4
87,Aristotle University of Thessaloniki,22,15.5
88,University of Oulu,2,15.5
89,Nagoya Institute of Technology,17,15.53
90,Chalmers University of Technology,22,15.55
91,Universidade Estadual Paulista - Guaratinguetá,9,15.67
92,Helsinki Metropolia University of Applied Sciences,24,15.79
93,Texas A&amp;M University,20,15.85
94,Università degli studi di Padova,29,15.97
95,Cornell University,27,16.0
96,J.C. Bose University of Science and Technology YMCA,2,16.0
97,National Technical University of Athens,9,16.0
98,Pune Vidyarti Griha's college of Engineering and Technology,1,16.0
99,Universidade Independente,1,16.0
100,University of Michigan - Ann Arbor,43,16.09
101,University of Washington,31,16.16
102,University of Bath,41,16.17
103,Hochschule Karlsruhe - Technik und Wirtschaft,35,16.29
104,UNESP - Campus de Ilha Solteira,7,16.29
105,Università della Calabria,11,16.45
106,Ibaraki University,14,16.5
107,Smt. Kashibai Navale College of Engineering,6,16.5
108,The University of Akron,49,16.53
109,Universität Kassel,21,16.67
110,Technische Universität Braunschweig,16,16.69
111,University of Malaga,5,16.8
112,Rochester Institute of Technology,51,16.88
113,University of Applied Sciences Ravensburg-Weingarten,32,16.94
114,G.V.Acharya Institute of Engineering &amp; Technology,1,17.0
115,Iran University of Science and Technology - Arak,1,17.0
116,The University of Newcastle,14,17.14
117,Technische Universität Berlin,33,17.21
118,Fachhochschule Kiel,12,17.25
119,Deakin University,11,17.27
120,Escola Politècnica Superior d'Enginyeria de Manresa,10,17.4
121,Flinders University,4,17.5
122,École de Technologie Superieure,40,17.55
123,University of South Australia,11,17.64
124,University of West Bohemia,10,17.9
125,Tokyo City University,17,17.94
126,University of Virginia,1,18.0
127,Università degli Studi di Firenze,13,18.23
128,Universidade Federal de Santa Catarina,7,18.29
129,Universidade Federal de Itajubá - Itajubá,6,18.33
130,San José State University,21,18.43
131,National Institute of Technology - Kurukshetra,2,18.5
132,Rzeszów University of Technology,12,18.5
133,Symbiosis Institute of Technology,2,18.5
134,University of Kocaeli,2,18.5
135,Budapest University of Technology and Economics,17,18.59
136,Dartmouth College,17,18.65
137,Missouri University of Science and Technology,43,18.67
138,Ostbayerische Technische Hochschule Regensburg,32,18.69
139,Shibaura Institute of Technology,20,18.7
140,Fachhochschule München,34,18.76
141,Polo Universitario de Volta Redonda - Universidade Federal Fluminense,5,18.8
142,University of Wales Trinity Saint David,10,18.8
143,Dr. D. Y. Patil Institute Of Engineering and Technology,2,19.0
144,SRM Institute of Science and Technology NCR Campus,2,19.0
145,Universidade Federal do Paraná,2,19.0
146,Fachhochschule Stralsund,35,19.14
147,Universidade Federal da Bahia,6,19.33
148,Kingston University,2,19.5
149,Wroclaw University of Technology,31,19.65
150,Technische Hochschule Lübeck,6,19.67
151,Technische Universität Bergakademie Freiberg,10,19.7
152,Chiba University,15,19.93
153,Centro integrado de Manufatura e Tecnologia - SENAICIMATEC,8,20.0
154,Doshisha University,16,20.0
155,Instituto Superior de Engenharia de Lisboa,1,20.0
156,University Politehnica Of Bucharest,2,20.0
157,Victoria University Australia,5,20.0
158,University of Modena and Reggio Emilia,32,20.31
159,University of Wisconsin-Madison,36,20.36
160,Białystok University of Technology,25,20.4
161,Czech University of Life Sciences Prague,15,20.4
162,Gdańsk University of Technology,8,20.5
163,Politecnico di Milano,24,20.5
164,UAS Kempten,29,20.55
165,Utsunomiya University,17,20.82
166,École Centrale de Lyon,12,20.92
167,Graphic Era University,1,21.0
168,Luleå University of Technology,5,21.0
169,PEC University of Technology,1,21.0
170,University of Cadiz,6,21.0
171,Poznan University of Technology,11,21.09
172,AGH University of Science and Technology,17,21.24
173,São Paulo State University - UNESP - Bauru,4,21.25
174,Hochschule Darmstadt UAS,31,21.29
175,Tokyo Denki University,28,21.36
176,University of Southern Queensland,5,21.4
177,California State University Northridge,22,21.41
178,Cardiff University Wales,24,21.5
179,Federal University of Paraíba,6,21.5
180,VIT University - Chennai,6,21.5
181,FH Campus Wien,12,21.58
182,Oxford Brookes University,41,21.59
183,Marche Polytechnic University,11,21.64
184,Technische Universität Darmstadt,17,21.65
185,Federation University Australia,3,21.67
186,University of Malta,6,21.67
187,Universidade Federal de Itajubá - Itabira,4,21.75
188,Escola Universitària Salesiana de Sarrià (UAB),5,21.8
189,CESI École d’ingénieurs - Nanterre,1,22.0
190,Politecnico di Torino,19,22.0
191,Togliatti State University,4,22.0
192,Università degli Studi di Ferrara,3,22.0
193,Auburn University,38,22.18
194,California State Polytechnic University Pomona,31,22.19
195,Universidade Federal de Santa Catarina - Joinville,5,22.2
196,Technische Universität Wien,15,22.33
197,Tongji University,12,22.33
198,Nippon Institute of Technology,11,22.45
199,Sophia University,28,22.46
200,Università di Pisa,24,22.46
201,Escola de Engenharia de Lorena da Universidade de São Paulo,4,22.5
202,Technical University of Liberec,7,22.71
203,University of Thessaly,13,22.85
204,Düzce University,1,23.0
205,Ferdowsi University of Mashad,1,23.0
206,Indian Institute of Technology Roorkee,1,23.0
207,Silesian University of Technology,6,23.0
208,Universidade Comunitária Regional de Chapecó,3,23.0
209,Universidade Federal De Lavras,1,23.0
210,Universiti Teknologi MARA,1,23.0
211,University Carlos III of Madrid,11,23.0
212,University of Belgrade (Универзитет у Београду),17,23.0
213,Vidyavardhini's College of Engineering and Technology,2,23.0
214,University of Seville,20,23.15
215,University of Ulsan,3,23.33
216,Tokai University,20,23.35
217,Rajarambapu Institute of Technology,2,23.5
218,Technische Universiteit Eindhoven,12,23.5
219,University College Dublin,4,23.5
220,Western Sydney University,2,23.5
221,Universidad Rey Juan Carlos,7,23.57
222,Universität Paderborn,35,23.57
223,Michigan State University,35,23.6
224,Technion - Israel Institute of Technology,12,23.75
225,Toyohashi University of Technology,12,23.83
226,Amrita School of Engineering Coimbatore,3,24.0
227,Ataturk University,1,24.0
228,Dr. Mahalingam College of Engineering and Technology,1,24.0
229,Indian Institute of Technology Kanpur,2,24.0
230,RMD Sinhgad School of Engineering,1,24.0
231,Università degli Studi di Cagliari,4,24.0
232,The Ohio State University,34,24.29
233,NED University of Engineering and Technology,3,24.33
234,James Cook University,2,24.5
235,University of Florida,27,24.67
236,Vishwakarma Institute of Information Technology,4,24.75
237,Ostfalia University of Applied Sciences,13,24.77
238,Kobe University,15,24.8
239,University of Split,5,24.8
240,Loughborough University,35,24.83
241,National Technical University of Ukraine Kyiv Polytechnic Institute,2,25.0
242,Taylor's University,2,25.0
243,Universidade Federal de Sergipe,3,25.0
244,University of Valladolid,1,25.0
245,John von Neumann University,10,25.2
246,University of Illinois at Urbana-Champaign,40,25.22
247,Keio University,13,25.23
248,Shizuoka University,16,25.25
249,Universität Siegen,3,25.33
250,Tokyo University of Science,15,25.4
251,Universidade de Brasília,7,25.43
252,Universidade Federal de São Carlos,6,25.5
253,Meijo University,17,25.71
254,University of Maribor,30,25.73
255,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,4,25.75
256,Fr Conceicao Rodrigues College of Engineering,3,26.0
257,Universidade Federal de Campina Grande,2,26.0
258,Kanazawa University,18,26.17
259,Liverpool John Moores University,11,26.36
260,Dwarkadas. J. Sanghvi College of Engineering,7,26.43
261,Universitat Jaume I,7,26.43
262,Beijing Institute of Technology,2,26.5
263,Yıldız Technical University,15,26.53
264,Fachhochschule Konstanz,33,26.55
265,Università degli Studi di Napoli Federico II,7,26.57
266,Technische Hochschule Ostwestfalen-Lippe,15,26.8
267,University of Missouri,37,26.86
268,Hochschule Niederrhein,17,26.88
269,Lund University,16,27.0
270,Norwegian University of Science and Technology,4,27.0
271,Universidad Tecnológica de Pereira,1,27.0
272,Universiti Teknologi Petronas,1,27.0
273,University of Miskolc,5,27.2
274,The University of Tokyo,14,27.21
275,MCT's Rajiv Gandhi Institute of Technology,3,27.33
276,UAS Würzburg-Schweinfurt,20,27.45
277,R.V.College of Engineering,17,27.47
278,Hindustan Institute of Technology and Science,2,27.5
279,Oregon State University,14,27.5
280,Gheorghe Asachi Technical University of Iaşi,9,27.56
281,Brigham Young University,3,27.67
282,Università degli Studi di Parma,10,27.9
283,University of California Berkeley,15,27.93
284,Kakatiya Institute of Technology and Science Warangal,1,28.0
285,King Mongkut's University of Technology Thonburi,8,28.0
286,Tel Aviv University,5,28.0
287,Ufa State Aviation Technical University,1,28.0
288,Georgia Institute of Technology,29,28.21
289,University of Kansas,42,28.26
290,Escola Politècnica Superior d'Enginyeria de Vilanova i la Geltrú UPC,7,28.29
291,Western Washington University,18,28.33
292,Università degli Studi di Roma Tor Vergata,17,28.35
293,Università degli Studi di Roma La Sapienza,21,28.48
294,Shizuoka Institute of Science and Technology,14,28.5
295,Università degli Studi di Catania,2,28.5
296,Università del Salento,10,28.6
297,Virginia Polytechnic Institute and State University,31,28.61
298,Ulm University of Applied Sciences,26,28.73
299,École Polytechnique de Montréal,30,28.77
300,Karlstad University,12,28.83
301,Duale Hochschule Baden-Württemberg Ravensburg,8,28.88
302,KTH Royal Institute of Technology,10,28.9
303,Nagesh Karajagi Orchid College Of Engineering &amp; Technology,1,29.0
304,University of Oklahoma,31,29.0
305,Coventry University,19,29.11
306,University of Brescia,6,29.17
307,Brunel University London,31,29.23
308,Korea University of Technology and Education,3,29.33
309,Universidad de Castilla-La Mancha,3,29.33
310,University of Strathclyde,29,29.38
311,Queen's University Belfast,15,29.4
312,University of Waterloo,33,29.42
313,Kanazawa Institute of Technology,14,29.5
314,UniSALESIANO Araçatuba,2,29.5
315,University of Rijeka,10,29.5
316,Kookmin University,16,29.56
317,Universidade de Lisboa - Instituto Superior Técnico,5,29.6
318,Clemson University,26,29.62
319,Fachhochschule Hannover,18,29.67
320,Hochschule Pforzheim,15,29.73
321,TAMK University of Applied Sciences,22,29.73
322,Hochschule RheinMain,16,29.94
323,Arab Academy for Science Technology &amp; Maritime Transport (AASTMT),1,30.0
324,Lovely Professional University,2,30.0
325,Universidade Federal de Mato Grosso,1,30.0
326,University of Aberdeen,12,30.0
327,University of Messina,1,30.0
328,University of Mostar,2,30.0
329,Xiamen University of Technology,3,30.33
330,University of Birmingham,34,30.47
331,Kalinga Institute of Industrial Technology,2,30.5
332,SRM Institute of Science and Technology - Kattankulathur,5,30.6
333,Universität Bayreuth,11,30.64
334,Birla Institute of Technology Mesra,4,30.75
335,Kyushu Institute of Technology,15,30.8
336,University of Toronto,36,30.89
337,Amity School of Engineering and Technology,3,31.0
338,Bhartiya Institute of Engineering and Technology,1,31.0
339,DHA Suffa University,1,31.0
340,Indian Institute of Technology Dhanbad,1,31.0
341,Jilin University,1,31.0
342,Koblenz University of Applied Science,1,31.0
343,Kumaraguru College of Technology,3,31.0
344,National University of Singapore,16,31.0
345,SRM Institute of Science and Technology - Ramapuram,1,31.0
346,Swansea University,17,31.0
347,Universitat de Girona,3,31.0
348,Tokyo University of Agriculture and Technology,14,31.21
349,University of Yamanashi,13,31.23
350,University of Cincinnati,32,31.28
351,Universidad Francisco de Vitoria,3,31.33
352,Rensselaer Polytechnic Institute,32,31.38
353,Ramaiah Institute of Technology,5,31.4
354,BITS Pilani KK Birla Goa Campus,2,31.5
355,California State Polytechnic University - San Luis Obispo,21,31.52
356,University of Perugia,5,31.6
357,Helmut Schmidt Universität  Universität der Bundeswehr Hamburg,13,31.62
358,Belgorod state technological university named after V. G. Shukhov,3,31.67
359,Ritsumeikan University,15,31.87
360,Osaka City University,10,32.1
361,Daido Institute of Technology,8,32.12
362,University of Toledo,39,32.15
363,Kasetsart University,5,32.2
364,National Institute of Technology - Rourkela,2,32.5
365,Universität der Bundeswehr München,5,32.6
366,Siam University,3,32.67
367,The National Institute of Engineering Mysore,3,32.67
368,Fachhochschule Aachen,23,32.7
369,University of Huddersfield,31,32.71
370,Kanagawa Institute of Technology,15,32.73
371,Sri Venkateswara College of Engineering,4,32.75
372,Fachhochschule für Wirtschaft und Technik,3,33.0
373,Østfold University College,1,33.0
374,University of Surrey,7,33.14
375,University of Sheffield,12,33.17
376,University of Leeds,27,33.26
377,University of Zagreb,8,33.38
378,Bauman Moscow State Technical University,10,33.5
379,Manipal Academy of Higher Education,12,33.5
380,Hochschule Heilbronn,17,33.65
381,University of the West of England,10,33.7
382,Hochschule für Technik und Wirtschaft Mittweida,10,33.8
383,College of Science and Technology Nihon University,17,33.82
384,Universidad de Vigo,13,33.92
385,Guru Gobind Singh Indraprastha University,2,34.0
386,Maejo University,1,34.0
387,Staffordshire University,4,34.0
388,Universitas Negeri Yogyakarta,5,34.0
389,University of Minnesota Twin Cities,22,34.0
390,Vasavi College of Engineering,1,34.0
391,DIT University,3,34.33
392,Ecole Nationale d'Ingénieurs de Metz,20,34.35
393,Ural State University of Railway Transport,8,34.38
394,North Carolina State University,25,34.4
395,Osaka Sangyo University,13,34.46
396,Hunan University,4,34.5
397,Veer Surendra Sai University of Technology,2,34.5
398,K L University,3,34.67
399,Okayama University,15,34.67
400,Waseda University,11,34.73
401,Université Laval,19,34.74
402,Kokushikan University,20,34.75
403,Central Piedmont Community College,2,35.0
404,Indira Gandhi Delhi Technical University for Women,2,35.0
405,Kogakuin University,13,35.0
406,Nizhny Novgorod State Technical University,1,35.0
407,Odessa Polytechnic National State University,7,35.0
408,Rajarshi Shahu College Of Engineering,1,35.0
409,St. Vincent Pallotti College of Engineering and Technology,1,35.0
410,Universidade Federal de Viçosa,1,35.0
411,Hubei University of Automotive Technology,5,35.2
412,De Montfort University,7,35.29
413,Technische Hochschule Köln,5,35.4
414,University of Nebraska–Lincoln,15,35.4
415,University of Ottawa,5,35.4
416,D.Y. Patil School of Engineering Academy Ambi,2,35.5
417,Rajendra Mane College of Engineering and Technology,2,35.5
418,University of Ljubljana,2,35.5
419,University of Liverpool,21,35.52
420,Hochschule für Technik und Wirtschaft Berlin,17,35.59
421,Western University,34,35.65
422,University of New Mexico,19,35.95
423,Cherepovets State University,1,36.0
424,Technological Educational Institute of Western Macedonia,2,36.0
425,University of Agder,2,36.0
426,Universidad Europea de Madrid,19,36.05
427,University of Southampton,14,36.14
428,Aalborg University,13,36.23
429,California Baptist University,4,36.25
430,University of North Texas,8,36.38
431,Thai-Nichi Institute of Technology,3,36.67
432,Università degli Studi della Tuscia,10,36.7
433,Iowa State University,29,36.72
434,Technical University of Sofia,4,36.75
435,Indian Institute of Technology Madras,9,36.78
436,McGill University,26,36.88
437,Technological University Dublin,6,37.0
438,Universidade Federal do Pará - Campus Tucuruí - UFPA,1,37.0
439,Otto-von-Guericke-Universität Magdeburg,13,37.15
440,University of Burgundy - ISAT,26,37.23
441,Pennsylvania State University,27,37.26
442,Institute of Technologists,13,37.31
443,IMT Nord Europe - Douai,3,37.33
444,Université de Versailles-Saint-Quentin-en-Yvelines,3,37.33
445,Lancaster  University,17,37.59
446,Fachhochschule Osnabrück,5,37.6
447,Prince of Songkla University,5,37.6
448,Purdue University - West Lafayette,29,37.62
449,Duale Hochschule Baden-Württemberg Stuttgart,3,37.67
450,Universitatea Transilvania din Braşov,23,37.78
451,VIT University - Vellore,11,37.82
452,Rose-Hulman Institute of Technology,12,37.92
453,HAN University of Applied Sciences,4,38.0
454,Sinhgad Academy Of Engineering,1,38.0
455,Universidade Federal de Uberlândia - UFU,1,38.0
456,University of the West of Scotland,3,38.0
457,Çukurova University,1,38.0
458,Hokkaido University,12,38.25
459,Villanova University,12,38.33
460,Rutgers The State University of New Jersey,32,38.38
461,University of Maryland,21,38.43
462,Saginaw Valley State University,21,38.52
463,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,9,38.56
464,University of Fukui,14,38.57
465,Moscow Polytechnic University,17,38.65
466,Galgotias University,3,38.67
467,University of Salford,3,38.67
468,California State University Chico,7,38.71
469,TECNUN - University of Navarra,15,38.73
470,University of Pittsburgh,34,38.76
471,Osaka Institute of Technology,11,38.82
472,Linköping University,9,38.89
473,Honda Technical College Kansai,22,38.95
474,Amrutvahini College Of Engineering Sangamner,1,39.0
475,Frederick University,1,39.0
476,MGM's Jawaharlal Nehru Engineering College,1,39.0
477,Sardar Vallabhbhai National Institute of Technology,1,39.0
478,Seikei University,11,39.0
479,Universidade Estadual do Oeste do Paraná,1,39.0
480,Università degli Studi di Salerno,1,39.0
481,Montana State University - Bozeman,6,39.17
482,AISSMS (All India Shri Shivaji Memorial Society's) College of Engineering,2,39.5
483,Deggendorf Institute of Technology,4,39.5
484,Ruhr-Universität Bochum,18,39.56
485,Honda Technical College Kanto,12,39.58
486,Reykjavík University,4,39.75
487,Drexel University,20,39.8
488,Politecnico di Bari,10,39.8
489,Heriot-Watt University,8,40.0
490,Lokmanya Tilak College of Engineering,1,40.0
491,Rayat Institute of Engineering and Information Technology,1,40.0
492,Santa Clara University,1,40.0
493,Universidade Paulista - Campinas - Campus II,1,40.0
494,University of British Columbia - Vancouver,23,40.22
495,Gadjah Mada University,8,40.25
496,PSG College of Technology,4,40.25
497,University of Glasgow,10,40.3
498,Birla Institute of Science and Technology Pilani - Dubai,3,40.33
499,California State University Sacramento,17,40.35
500,Technische Universität Dortmund,15,40.6
501,Technische Universität Dresden,6,40.67
502,Gifu University,14,40.71
503,ESTACA - Paris-Saclay (Ecole Supérieure des Techniques Aéronautiques et de Construction Automobile),3,41.0
504,NBN Sinhgad School Of Engineering,1,41.0
505,Peoples' Friendship University of Russia,8,41.0
506,TKM  College of Engineering,1,41.0
507,Tokyo Metropolitan University,4,41.0
508,Toyota Technical College Nagoya,11,41.0
509,University of Connecticut,20,41.1
510,Kinki University,16,41.25
511,Middle East Technical University,3,41.33
512,Saitama University,3,41.33
513,Carleton University,25,41.44
514,Kettering University,33,41.48
515,Pittsburg State University,4,41.5
516,Universitatea Politehnica Timișoara,2,41.5
517,Hope College,5,41.6
518,Rheinisch-Westfälische Technische Hochschule Aachen,20,41.6
519,Brown University,25,41.72
520,HMR Institute of Technology &amp; Management,1,42.0
521,Imperial College London,6,42.0
522,London South Bank University,1,42.0
523,Madras Institute of Technology,1,42.0
524,Sanyo-Onoda City University at Tokyo University of Science,8,42.0
525,Saraswati College of Engineering,1,42.0
526,University of the Pacific,1,42.0
527,University of California San Diego,14,42.07
528,University of Southern California,17,42.18
529,Delhi Technological University,10,42.2
530,University of Warwick,16,42.25
531,The University of Michigan-Dearborn,25,42.44
532,Kurume Institute of Technology,13,42.46
533,D. Y. Patil College of Engineering &amp; Technology Kasaba Bawada Kolhapur ,2,42.5
534,Kennesaw State University,18,42.5
535,Saarland University,15,42.53
536,Hochschule Mannheim,10,42.6
537,University of Texas at Austin,21,42.76
538,Polytechnic Institute of Leiria,5,42.8
539,Charotar University of Science and Technology,2,43.0
540,WIZ International College of Information and Technology,1,43.0
541,Harbin Institute of Technology at Weihai,7,43.43
542,National Tsing Hua University,3,43.67
543,University of Delhi,3,43.67
544,Kyushu Sangyo University,1,44.0
545,University Institute of Technology RGPV Bhopal,1,44.0
546,Warsaw University of Technology,13,44.08
547,Oregon Institute of Technology,9,44.11
548,University of Wolverhampton,6,44.17
549,Universidad Politécnica de Madrid (UPM),17,44.24
550,University of Alberta,24,44.33
551,Indian Institute of Technology Kharagpur,4,44.5
552,Technische Universität Ilmenau,2,44.5
553,Universidad Politécnica de Cartagena,4,44.5
554,University of South Florida,21,44.52
555,Aichi Institute of Technology,9,44.67
556,Fachhochschule Dortmund,14,44.71
557,University of Calgary,21,44.86
558,University of Idaho,7,44.86
559,Technische Universität Kaiserslautern,9,44.89
560,Ceylon-German Technical Training Institute,1,45.0
561,Haldia Institute of Technology,2,45.0
562,Hiroshima University,8,45.0
563,Hochschule Offenburg,5,45.0
564,Nitte Meenakshi Institute of Technology,1,45.0
565,University of Sussex,13,45.0
566,Aligarh Muslim University,4,45.25
567,University of Victoria,18,45.28
568,University of California Los Angeles,6,45.33
569,Kochi University of Technology,4,45.5
570,Tokyo Institute of Technology,2,45.5
571,University of Ontario Institute of Technology,7,45.71
572,King Mongkut's Institute of Technology Ladkrabang,7,45.86
573,K. J. Somaiya College of Engineering,13,45.92
574,University of Leicester,1,46.0
575,Wichita State University,12,46.08
576,Faculty of Textile Science &amp; Technology. Shinshu University,5,46.2
577,University of Manchester,11,46.36
578,Chulalongkorn University,2,46.5
579,Birla Institute of Technology &amp; Science  Pilani,5,46.6
580,Manchester Metropolitan University,13,46.62
581,Niigata University,11,46.73
582,Universidad Simón Bolívar,19,46.89
583,Hanyang University,1,47.0
584,University of Edinburgh,6,47.17
585,Oakland University,28,47.21
586,Ain Shams University,6,47.33
587,Michigan Technological University,23,47.43
588,University of Portsmouth,15,47.47
589,Tyumen Industrial University,4,47.5
590,Universidad Iberoamericana,2,47.5
591,Aston University,18,47.56
592,College of Industrial Technology Nihon University,11,47.73
593,University of Central Lancashire,15,47.73
594,University of Delaware,16,47.75
595,Slovak University of Technology in Bratislava,10,47.8
596,Bergische Universität Wuppertal,11,47.82
597,Minnesota State University Mankato,17,47.88
598,Chungbuk National University,2,48.0
599,Nicholls State University,1,48.0
600,Fukui University of Technology,7,48.14
601,South Dakota School of Mines and Technology,23,48.22
602,California State University Fullerton,11,48.36
603,Université du Québec à Trois-Rivières,23,48.39
604,Massachusetts Institute of Technology,9,48.56
605,Berlin School of Economics,3,49.0
606,Escuela Superior de Ingeniería Automotriz (ESIA) Tlalnepa,3,49.0
607,Hokkaido Automotive Engineering College,1,49.0
608,Duke University,24,49.17
609,M.H. Saboo Siddik College of Engineering,2,49.5
610,University of Houston,4,49.5
611,Sheffield Hallam University,15,49.53
612,University of the Basque Country,6,49.67
613,University of Alabama,15,49.8
614,University of Southern Denmark,5,49.8
615,Queen's University,32,49.81
616,Acharya Institute of Technology,1,50.0
617,Chandigarh University,2,50.0
618,Georgia Southern University,13,50.08
619,Brandenburgische Technische Universität Cottbus,7,50.14
620,California State University Los Angeles,6,50.17
621,State University of New York at Buffalo,13,50.23
622,Chitkara University Punjab,8,50.25
623,Florida Atlantic University,12,50.25
624,Indiana University – Purdue University Indianapolis,4,50.25
625,Colorado State University,17,50.29
626,University of California Riverside,3,50.33
627,Louisiana State University,21,50.43
628,Universidad Nacional Autónoma de México,12,50.67
629,University of North Carolina at Charlotte,17,50.88
630,University of Ulster,15,50.93
631,Kunsan National University,2,51.0
632,National University of Sciences and Technology - Karachi,5,51.0
633,Trinity College University of Dublin,1,51.0
634,TSSM’s Bhivarabai Sawant College of Engineering &amp; Research,1,51.0
635,University of Hawaii at Manoa,7,51.0
636,Lawrence Technological University,30,51.13
637,Lafayette College,7,51.43
638,Chaitanya Bharathi Institute of Technology,2,51.5
639,Université de Sherbrooke,19,51.53
640,University of Colorado at Boulder,16,51.62
641,Southern Methodist University,3,51.67
642,Oklahoma State University - Stillwater,17,51.88
643,Guangxi University of Science and Technology,1,52.0
644,Istanbul Technical University,3,52.0
645,P.E.S. Modern College of Engineering,1,52.0
646,Shonan Institute of Technology,1,52.0
647,Sinhgad College of Engineering Vadgaon,8,52.12
648,West Virginia University,15,52.2
649,National Institute of Technology - Karnataka,3,52.33
650,Pillai College Of Engineering,2,52.5
651,University of Manitoba,25,52.64
652,Sepuluh Nopember Institute of Technology,6,52.67
653,Birmingham City University,8,52.75
654,Syracuse University,8,52.88
655,Meisei University,14,52.93
656,Shanghai Jiao Tong University,1,53.0
657,University of Alabama at Birmingham,1,53.0
658,Ryerson University,27,53.15
659,University of North Dakota,13,53.15
660,Thapar Institute of Engineering and Technology,12,53.58
661,Arizona State University,11,53.64
662,South Dakota State University,18,53.78
663,Moscow State Automobile &amp; Road Technical University - MADI,10,53.8
664,University of Cambridge,18,53.94
665,Newcastle University,3,54.0
666,Teikyo University,3,54.0
667,Universidad Interamericana de Puerto Rico,1,54.0
668,University of California Davis,9,54.0
669,University of Moratuwa,2,54.0
670,University of South Carolina,2,54.0
671,University of Windsor,14,54.21
672,Hiroshima Institute of Technology,6,54.33
673,Akita Prefectural University,2,54.5
674,Instituto Tecnológico de Chihuahua,16,54.5
675,Okayama University of Science,8,54.5
676,PES Institute of Technology,2,54.5
677,University of Nottingham,6,54.5
678,Milwaukee School of Engineering,9,54.56
679,San Diego State University,16,54.56
680,Worcester Polytechnic Institute,16,54.81
681,University of California Irvine,16,54.88
682,Bangalore Institute of Technology,2,55.0
683,Liaoning University of Technology,1,55.0
684,Zhejiang University City College,1,55.0
