Rank,University,Lowest Place,Number of Lowest Place
179,VIT University - Vellore,4.0,1
180,Escola Politécnica da Universidade de São Paulo,5.0,3
181,Michigan Technological University,5.0,2
182,Tokai University,5.0,2
183,University of Alabama,5.0,2
184,Aligarh Muslim University,5.0,1
185,California State Polytechnic University Pomona,5.0,1
186,Cedarville University,5.0,1
187,College of Science and Technology Nihon University,5.0,1
188,Deakin University,5.0,1
189,Fachhochschule Kiel,5.0,1
190,Iowa State University,5.0,1
191,Mississippi State University,5.0,1
192,MIT World Peace University,5.0,1
193,Oklahoma State University - Stillwater,5.0,1
194,Pittsburg State University,5.0,1
195,Poznan University of Technology,5.0,1
196,SRM Institute of Science and Technology NCR Campus,5.0,1
197,State University of New York at Buffalo,5.0,1
198,TAMK University of Applied Sciences,5.0,1
199,UAS Kempten,5.0,1
200,University of Puerto Rico,5.0,1
201,University of Seville,5.0,1
202,University of Southampton,5.0,1
203,University of Sydney,5.0,1
204,Universität Kassel,5.0,1
205,Yeungnam University College,5.0,1
206,Kobe University,6.0,2
207,Technische Hochschule Mittelhessen,6.0,2
208,University of Nebraska–Lincoln,6.0,2
209,AGH University of Science and Technology,6.0,1
210,Birla Institute of Technology Mesra,6.0,1
211,California State University Northridge,6.0,1
212,Cardiff University Wales,6.0,1
213,Coventry University,6.0,1
214,Gadjah Mada University,6.0,1
215,Indian Institute of Technology Kharagpur,6.0,1
216,Lancaster  University,6.0,1
217,Lawrence Technological University,6.0,1
218,McMaster University,6.0,1
219,Pimpri Chinchwad College Of Engineering,6.0,1
220,Rheinisch-Westfälische Technische Hochschule Aachen,6.0,1
221,Ryerson University,6.0,1
222,Shibaura Institute of Technology,6.0,1
223,Technische Universität Darmstadt,6.0,1
224,The University of Newcastle,6.0,1
225,Tokyo University of Agriculture and Technology,6.0,1
226,Tokyo University of Science,6.0,1
227,Universidade Federal de São João del Rei,6.0,1
228,Universidade Federal do Ceará,6.0,1
229,Universidade Federal Fluminense - Niterói,6.0,1
230,Universidade Paulista,6.0,1
231,University of Cadiz,6.0,1
232,University of Sussex,6.0,1
233,University of Waikato,6.0,1
234,University of Warwick,6.0,1
235,Vishwakarma Institute of Information Technology,6.0,1
236,École Centrale de Lyon,6.0,1
237,University of Alberta,7.0,3
238,Technische Universiteit Eindhoven,7.0,2
239,University of New Mexico,7.0,2
240,Australian National University,7.0,1
241,Bauman Moscow State Technical University,7.0,1
242,Ben-Gurion University of the Negev,7.0,1
243,California State University Sacramento,7.0,1
244,Chiba University,7.0,1
245,Clemson University,7.0,1
246,Colorado State University,7.0,1
247,Dartmouth College,7.0,1
248,Escola Universitària Salesiana de Sarrià (UAB),7.0,1
249,Kansas State University,7.0,1
250,Loughborough University,7.0,1
251,Nirma University,7.0,1
252,Oakland University,7.0,1
253,Okayama University,7.0,1
254,Oregon Institute of Technology,7.0,1
255,Otto-von-Guericke-Universität Magdeburg,7.0,1
256,Rensselaer Polytechnic Institute,7.0,1
257,Santa Clara University,7.0,1
258,Sinhgad College of Engineering Vadgaon,7.0,1
259,Staffordshire University,7.0,1
260,TECNUN - University of Navarra,7.0,1
261,UNESP - Campus de Ilha Solteira,7.0,1
262,Universidade Comunitária Regional de Chapecó,7.0,1
263,University of British Columbia - Vancouver,7.0,1
