uni,date,event,total
Kennesaw State University,2007,Michigan,605
The University of Akron,2016,Canada,605
Ben-Gurion University of the Negev,2015,Italy,605
University of Aberdeen,2019,United Kingdom,605
Hochschule Pforzheim,2013,Italy,605
Université Laval,2010,Michigan,605
California State Polytechnic University Pomona,2014,Germany,605
Ibaraki University,2009,Japan,605
University of Modena and Reggio Emilia,2015,Italy,604
Kansas State University,2008,California,604
Université de Sherbrooke,1995,Michigan,604
Ulm University of Applied Sciences,2018,Spain,604
University of Connecticut,2015,Michigan,604
Technische Universität Berlin,2013,Italy,604
Fachhochschule Coburg,2012,Germany,604
Wroclaw University of Technology,2019,Michigan,603
Università degli Studi di Parma,2017,Italy,603
University of Toledo,2011,Michigan,603
Universitat Politécnica de Valéncia,2015,Spain,603
Sanyo-Onoda City University at Tokyo University of Science,2018,Japan,603
The Ohio State University,2013,Michigan,603
University of Michigan - Ann Arbor,2001,Michigan,603
Fachhochschule Konstanz,2011,Hungary,602
University of Waterloo,2002,Michigan,602
University of Auckland,2006,Australia,602
University of Colorado at Boulder,2006,Michigan,602
Fachhochschule Osnabrück,2010,Germany,602
Brno University of Technology,2021,East,602
California State Polytechnic University - San Luis Obispo,2016,Michigan,602
Oregon State University,2007,Michigan,602
University of Michigan - Ann Arbor,2018,Michigan,602
University of Pittsburgh,2004,Michigan,601
The University of Akron,1995,Michigan,601
UAS Kempten,2013,Italy,601
Technische Hochschule Mittelhessen,2014,Germany,601
Chalmers University of Technology,2008,California,601
Waseda University,2018,Japan,601
Fachhochschule München,2018,Germany,601
Oxford Brookes University,2004,United Kingdom,601
University Of Hertfordshire,2006,Michigan,601
California State University Northridge,2008,California,600
University of Queensland,2013,Australia,600
University of Missouri,2018,Canada,600
The University of Akron,2009,Michigan,600
University of Illinois at Urbana-Champaign,2019,Michigan,600
Universität Paderborn,2019,Austria,600
Fachhochschule Joanneum Graz,2010,United Kingdom,600
Liverpool John Moores University,2012,Spain,600
Fachhochschule Stralsund,2004,Michigan,600
University of Oklahoma,2005,Michigan,600
University of Waterloo,2004,Michigan,600
Saginaw Valley State University,2010,Michigan,600
University of North Carolina at Charlotte,2005,Michigan,600
Massachusetts Institute of Technology,2010,California,599
University of Maribor,2017,United Kingdom,599
Universidade Paulista,2011,Brasil,599
State University of New York at Buffalo,2008,Michigan,599
Iowa State University,2019,Lincoln,599
McMaster University,2002,United Kingdom,599
Ostbayerische Technische Hochschule Regensburg,2015,Hungary,599
Escola de Engenharia de São Carlos da Universidade de São Paulo,2017,Michigan,599
King Mongkut's University of Technology Thonburi,2014,Japan,599
Wroclaw University of Technology,2015,Hungary,598
École Polytechnique de Montréal,2017,Michigan,598
Yokohama National University,2006,Japan,598
University of Toledo,2016,Michigan,598
Toyohashi University of Technology,2017,Japan,597
École Polytechnique de Montréal,2019,Canada,597
Kettering University,2017,Michigan,597
Technische Universität Wien,2011,Hungary,597
AGH University of Science and Technology,2018,Michigan,597
Utsunomiya University,2009,Japan,597
Tokyo Denki University,2007,Japan,597
Michigan State University,1997,Michigan,596
Universidad Simón Bolívar,2006,Michigan,596
Clemson University,2019,Michigan,596
Toyohashi University of Technology,2013,Japan,596
AGH University of Science and Technology,2016,East,596
Saginaw Valley State University,2019,Michigan,596
École Polytechnique de Montréal,2016,Michigan,596
Florida Atlantic University,2017,Michigan,596
Tokai University,2007,Japan,595
Cornell University,2016,Michigan,595
University of Technology Sydney,2012,Australia,595
University of Maribor,2012,Austria,595
Honda Technical College Kanto,2012,Japan,594
Hochschule Darmstadt UAS,2018,Spain,594
University of Calgary,2022,Michigan,594
Oakland University,2011,California,594
Hochschule für Angewandte Wissenschaften Hamburg,2017,Germany,594
University of Applied Sciences Ravensburg-Weingarten,2014,Austria,594
Universidade Federal de Santa Maria,2012,Brasil,594
California State Polytechnic University Pomona,1996,Michigan,594
Seikei University,2010,Japan,593
Rochester Institute of Technology,2003,Michigan,593
Villanova University,2019,Michigan,593
Clemson University,2008,California,593
Carleton University,2015,Canada,593
University of Adelaide,2002,Australia,593
École Polytechnique de Montréal,2015,Canada,593
University of Texas at Arlington,2016,Michigan,592
University of Connecticut,2017,Michigan,592
Hochschule RheinMain,2010,Austria,592
University of Sydney,2004,Australia,592
Shizuoka Institute of Science and Technology,2018,Japan,592
University of Cincinnati,2001,Michigan,592
University of Toronto,2004,Michigan,592
Fachhochschule Kiel,2006,Germany,592
Friedrich-Alexander-Universität Erlangen-Nürnberg,2012,Austria,591
The University of Tokyo,2005,Japan,591
Fachhochschule Konstanz,2015,Italy,591
Czech University of Life Sciences Prague,2017,Czech Republic,591
LeTourneau University,2002,Michigan,591
University of Toledo,2005,Michigan,591
Technische Universität Graz,2012,United Kingdom,590
Chalmers University of Technology,2009,United Kingdom,590
Kanagawa Institute of Technology,2008,Michigan,590
Georgia Southern University,2017,Lincoln,590
Tokai University,2013,Japan,590
University of British Columbia - Vancouver,2017,Michigan,590
Saarland University,2012,Hungary,589
National University of Singapore,2013,Michigan,589
Università degli studi di Padova,2010,United Kingdom,589
Fachhochschule Joanneum Graz,2009,Italy,589
Czech University of Life Sciences Prague,2014,Italy,589
Fachhochschule München,2014,Germany,589
University of Pittsburgh,2000,Michigan,589
California State University Chico,2016,Lincoln,588
Tongji University,2017,Germany,588
Friedrich-Alexander-Universität Erlangen-Nürnberg,2012,United Kingdom,588
Curtin University,2019,Australia,588
École Polytechnique de Montréal,2018,Michigan,588
University of Central Florida,2019,Michigan,588
State University of New York at Buffalo,1994,Michigan,588
Universität Stuttgart,2008,Germany,588
Kookmin University,2016,Michigan,588
National Technical University of Athens,2018,East,588
The Ohio State University,2022,Michigan,587
Cornell University,2018,Michigan,587
University of Alberta,2009,California,587
Tongji University,2015,Japan,587
University of Kansas,2010,Michigan,586
Texas A&amp;M University,1999,Michigan,586
McGill University,2002,Michigan,586
Czech Technical University in Prague,2011,United Kingdom,586
Dartmouth College,2005,United Kingdom,586
Clemson University,2006,Michigan,586
Oakland University,2003,Michigan,585
Universität Paderborn,2016,United Kingdom,585
Friedrich-Alexander-Universität Erlangen-Nürnberg,2009,United Kingdom,585
École Polytechnique de Montréal,2008,Michigan,585
Széchenyi István University,2014,Hungary,585
Fachhochschule München,2012,Germany,585
San José State University,2016,Lincoln,585
University Of Hertfordshire,2019,United Kingdom,584
University of Missouri,2012,Michigan,584
Wayne State University,2015,Lincoln,584
Alma Mater Studiorum - Università di Bologna,2016,Czech Republic,584
University of Pennsylvania,2011,Michigan,584
University of the West of England,2019,United Kingdom,584
Universität Paderborn,2015,Italy,584
Kyushu Institute of Technology,2016,Japan,583
University of Wollongong,2011,Australia,583
Karlstad University,2009,United Kingdom,583
University of Waikato,2015,Australia,583
RMIT University,2011,Australia,583
Wroclaw University of Technology,2021,Germany,583
University of Melbourne,2007,Australia,583
Tokyo University of Science,2014,Japan,583
Dartmouth College,1998,Michigan,582
Hochschule für Technik und Wirtschaft Mittweida,2015,United Kingdom,582
Nippon Institute of Technology,2017,Japan,582
Technion - Israel Institute of Technology,2016,East,582
Technische Universität Berlin,2016,East,582
Hochschule für Technik und Wirtschaft Berlin,2013,Hungary,582
Technische Universität Berlin,2018,East,582
Kokushikan University,2005,Michigan,581
Università degli Studi di Roma La Sapienza,2010,Italy,581
University of Victoria,2015,Michigan,581
Honda Technical College Kanto,2007,Japan,581
University of Washington,2015,Lincoln,581
Technische Hochschule Ostwestfalen-Lippe,2016,Italy,581
University of Nebraska–Lincoln,2016,Canada,580
University of Connecticut,2016,Michigan,580
Aristotle University of Thessaloniki,2014,Germany,580
Michigan State University,1998,Michigan,580
Széchenyi István University,2018,Germany,580
Kogakuin University,2010,Japan,580
Rose-Hulman Institute of Technology,2012,Michigan,580
University of Sydney,2013,Australia,580
Brown University,1999,Michigan,580
UAS Kempten,2014,Spain,580
VŠB - Technical University of Ostrava,2022,Czech Republic,579
University of Applied Sciences Ravensburg-Weingarten,2014,Spain,579
Okayama University,2017,Japan,579
Rochester Institute of Technology,2004,Michigan,579
University of Modena and Reggio Emilia,2006,United Kingdom,579
Georgia Institute of Technology,1999,Michigan,579
Auburn University,2014,Lincoln,579
University of Strathclyde,2008,Germany,579
University of Modena and Reggio Emilia,2018,Spain,579
Purdue University - West Lafayette,2018,Michigan,578
University of Connecticut,2018,Michigan,578
Dartmouth College,1997,Michigan,578
University of Connecticut,2018,Canada,578
Hochschule Esslingen,2015,Germany,578
University of Yamanashi,2013,Japan,578
Ibaraki University,2016,Japan,578
San José State University,2019,Michigan,578
Dartmouth College,1999,Michigan,578
University of California Irvine,2017,Lincoln,578
Hochschule für Angewandte Wissenschaften Hamburg,2010,Italy,578
Duale Hochschule Baden-Württemberg Ravensburg,2009,United Kingdom,577
Villanova University,2017,Michigan,577
University of Kansas,2022,Michigan,577
Université du Québec à Trois-Rivières,2015,Michigan,577
Karlstad University,2015,United Kingdom,577
University of Bath,2017,United Kingdom,577
Technische Universiteit Eindhoven,2007,Germany,577
Centro Universitário Facens,2014,Brasil,576
Aristotle University of Thessaloniki,2012,Germany,576
Hochschule Mannheim,2015,Italy,576
Nippon Institute of Technology,2011,Japan,576
Monash University,2005,Australia,576
University of Strathclyde,2013,Germany,576
University of Modena and Reggio Emilia,2008,United Kingdom,576
Nagoya University,2009,Japan,576
Gadjah Mada University,2018,Japan,576
Hiroshima University,2012,Japan,576
VŠB - Technical University of Ostrava,2019,Czech Republic,576
University of Victoria,2016,Michigan,575
Kanagawa Institute of Technology,2003,Japan,575
Texas A&amp;M University,2015,Lincoln,575
McGill University,2009,Michigan,575
Lancaster  University,2004,United Kingdom,575
University of Auckland,2007,Australia,575
University of Modena and Reggio Emilia,2016,United Kingdom,575
Union College,1999,Michigan,575
Sophia University,2004,Japan,575
École de Technologie Superieure,1995,Michigan,575
National University of Singapore,2006,Michigan,574
Queen's University Belfast,2001,United Kingdom,574
College of Science and Technology Nihon University,2011,Japan,574
Université du Québec à Trois-Rivières,2003,Michigan,574
Massachusetts Institute of Technology,2012,Michigan,574
Universität Bayreuth,2007,Germany,574
Tokyo City University,2012,Japan,574
University of Windsor,2006,Michigan,574
Kasetsart University,2017,Japan,573
Hochschule Darmstadt UAS,2016,Germany,573
University of Adelaide,2008,Australia,573
University of Huddersfield,2014,Hungary,573
University of Illinois at Urbana-Champaign,2016,Michigan,573
Technische Hochschule Mittelhessen,2019,Germany,573
Tokyo City University,2013,Japan,573
Nagoya Institute of Technology,2013,Japan,573
Universitat Politécnica de Valéncia,2017,Spain,572
Queensland University of Technology,2006,Australia,572
University of South Florida,2018,Canada,572
Louisiana State University,2015,Michigan,572
Keio University,2011,Japan,572
University of Wisconsin-Madison,2015,Lincoln,572
University of Oklahoma,2008,Michigan,572
Chiba University,2008,Japan,571
Fachhochschule Joanneum Graz,2009,United Kingdom,571
University of Wales Trinity Saint David,2007,United Kingdom,571
Smt. Kashibai Navale College of Engineering,2020,India,571
California State Polytechnic University Pomona,2011,California,571
Auburn University,2009,Michigan,571
The University of Akron,1994,Michigan,570
VŠB - Technical University of Ostrava,2017,Czech Republic,570
Osaka University,2014,Japan,570
Széchenyi István University,2016,Czech Republic,570
Technische Hochschule Ostwestfalen-Lippe,2015,Czech Republic,570
Louisiana State University,2016,Michigan,570
University of Bath,2002,United Kingdom,569
Minnesota State University Mankato,2002,Michigan,569
Fachhochschule Joanneum Graz,2015,Hungary,569
University of North Florida,2022,Michigan,569
Toyohashi University of Technology,2008,Japan,569
California State Polytechnic University - San Luis Obispo,2000,Michigan,569
San José State University,2017,Lincoln,569
Tokyo Denki University,2012,Australia,569
Queen's University Belfast,2018,United Kingdom,569
Hokkaido University,2012,Japan,569
University of Texas at Austin,2005,Michigan,569
Australian National University,2006,Australia,568
California State University Sacramento,1996,Michigan,568
UAS Kempten,2012,Italy,568
Saginaw Valley State University,2016,Michigan,568
University of Central Florida,2016,Michigan,568
Technische Universität Graz,2013,United Kingdom,568
University of Louisville,2009,Virginia,568
Toyota Technical College Nagoya,2015,Japan,568
Iowa State University,2019,Canada,568
University of the West of England,2019,Netherlands,567
Hochschule Darmstadt UAS,2011,Italy,567
Hope College,2018,Lincoln,567
National University of Singapore,2018,Michigan,567
The University of Akron,2002,Michigan,567
University of Applied Sciences Ravensburg-Weingarten,2012,Italy,567
Hochschule Karlsruhe - Technik und Wirtschaft,2014,Germany,567
Università degli studi di Padova,2022,East,567
Aalborg University,2008,Germany,567
Osaka Institute of Technology,2012,Japan,566
Osaka Institute of Technology,2015,Japan,566
Institute of Technologists,2010,Japan,566
Rochester Institute of Technology,2018,Michigan,566
The University of Akron,2017,Austria,566
University of Missouri,2014,Michigan,566
École de Technologie Superieure,2013,Germany,566
West Virginia University,1994,Michigan,566
Politecnico di Milano,2006,Italy,566
Universität Kassel,2016,Germany,566
Clemson University,2007,Michigan,565
University of Strathclyde,2012,Germany,565
Rzeszów University of Technology,2022,Czech Republic,565
West Virginia University,1995,Michigan,565
University Of Hertfordshire,2016,Germany,565
Technische Universität Braunschweig,2010,Germany,565
Università degli Studi di Roma La Sapienza,2012,Germany,565
Chalmers University of Technology,2006,California,565
Ostfalia University of Applied Sciences,2006,Germany,564
Tokyo Denki University,2007,California,564
Fachhochschule Kiel,2011,Germany,564
Kookmin University,2005,Michigan,564
University of Southern California,2018,Lincoln,564
North Carolina Agricultural and Technical State University,2000,Michigan,564
Universität Bayreuth,2006,Italy,564
West Virginia University,1992,Michigan,563
Utsunomiya University,2013,Japan,563
Fachhochschule Kiel,2009,Germany,563
Utsunomiya University,2016,Japan,563
Centro Federal de Educação Tecnológica de Minas Gerais,2014,Brasil,563
Università degli studi di Padova,2016,Germany,563
Université Laval,2012,Michigan,562
California State Polytechnic University - San Luis Obispo,2018,Lincoln,562
California State Polytechnic University Pomona,2022,Michigan,562
University Of Hertfordshire,2001,Australia,562
Swansea University,2014,Hungary,562
Università degli Studi di Roma Tor Vergata,2017,Czech Republic,562
Ostbayerische Technische Hochschule Regensburg,2014,Germany,562
University of Missouri,2022,Michigan,561
Ibaraki University,2017,Japan,561
Georgia Southern University,2013,Michigan,561
Ryerson University,2017,Michigan,561
Fachhochschule Konstanz,2018,Germany,561
Osaka University,2011,Australia,561
University of Hawaii at Manoa,2018,Lincoln,561
Ritsumeikan University,2019,Japan,561
Ritsumeikan University,2017,Japan,561
California State University Sacramento,2014,Lincoln,560
Osaka University,2007,Japan,560
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2008,United Kingdom,560
The University of Newcastle,2015,Australia,560
University of Maryland,2016,Michigan,559
Michigan Technological University,2015,Michigan,559
University of Zagreb,2014,United Kingdom,559
Dartmouth College,2000,Michigan,559
Georgia Southern University,2012,Lincoln,559
Rutgers The State University of New Jersey,2012,Michigan,559
Manipal Academy of Higher Education,2019,India,559
University of Evansville,2009,Michigan,559
Oregon State University,2009,Germany,559
Brunel University London,2005,Italy,559
Western University,2010,Michigan,559
University of Birmingham,2008,United Kingdom,559
McGill University,1998,Michigan,558
The University of Akron,1996,Michigan,558
University of Florida,2012,Michigan,558
Oakland University,2017,Lincoln,557
Universität Paderborn,2012,Austria,557
Utsunomiya University,2003,Japan,557
Missouri University of Science and Technology,2002,Michigan,557
Aristotle University of Thessaloniki,2011,United Kingdom,557
The Ohio State University,2016,Canada,557
Ostfalia University of Applied Sciences,2008,Italy,557
UAS Würzburg-Schweinfurt,2013,Spain,556
Duke University,2007,Michigan,556
Duke University,2005,Michigan,556
Kobe University,2014,Japan,556
Carleton University,2016,Canada,556
Centro Federal de Educação Tecnológica de Minas Gerais,2017,Brasil,556
University of Kansas,2006,California,556
University of Rijeka,2017,Italy,556
University of Illinois at Urbana-Champaign,1997,Michigan,556
Georgia Institute of Technology,2010,Michigan,555
Queen's University,1995,Michigan,555
Utsunomiya University,2012,Japan,554
University of Victoria,2013,Lincoln,554
Brunel University London,2014,United Kingdom,554
University of Queensland,2006,Australia,554
University of South Florida,2022,Michigan,554
National University of Singapore,2008,Michigan,554
Rutgers The State University of New Jersey,2002,Michigan,554
Osaka City University,2013,Japan,554
Université du Québec à Trois-Rivières,2013,Michigan,554
Universitat Politécnica de Valéncia,2022,Spain,554
Technische Universität Graz,2012,Austria,553
San José State University,2018,Lincoln,553
Doshisha University,2011,Japan,553
University of Idaho,2008,California,553
Auburn University,2002,Michigan,553
Yokohama National University,2015,Japan,553
Technische Hochschule Mittelhessen,2016,Germany,553
Hubei University of Automotive Technology,2014,Japan,553
University of Adelaide,2012,Australia,553
Shizuoka University,2006,Japan,553
University of Technology Sydney,2013,Australia,552
Fachhochschule Coburg,2019,East,552
Florida Atlantic University,2016,Michigan,552
University of Kansas,2001,Michigan,552
University of Connecticut,2014,Michigan,552
University of Waterloo,2018,Canada,552
University of Strathclyde,2014,Germany,552
University of Minnesota Twin Cities,2014,Michigan,551
Alma Mater Studiorum - Università di Bologna,2012,Italy,551
Wroclaw University of Technology,2014,Italy,551
University of Applied Sciences Ravensburg-Weingarten,2012,Germany,550
Tokyo City University,2005,Japan,550
Villanova University,2018,Michigan,550
Fachhochschule Stralsund,2013,Germany,550
Fachhochschule Stralsund,2017,Germany,550
Edith Cowan University,2009,Australia,550
Monash University,2006,Australia,549
GFR DHBW Ravensburg &amp; Oregon State University,2010,California,549
Fachhochschule Konstanz,2017,Germany,549
Osaka Institute of Technology,2017,Japan,549
Sophia University,2019,Japan,549
École Polytechnique de Montréal,2002,Michigan,549
Hochschule Karlsruhe - Technik und Wirtschaft,2007,Germany,549
Kennesaw State University,2022,Michigan,549
UAS Würzburg-Schweinfurt,2007,Germany,549
Brown University,2005,Michigan,548
Virginia Polytechnic Institute and State University,2017,Michigan,548
Brno University of Technology,2016,Italy,548
Rzeszów University of Technology,2022,Alpe Adria,548
University of Hartford,1995,Michigan,548
Technische Universität Graz,2014,Austria,548
Queen's University Belfast,2004,United Kingdom,548
Waseda University,2017,Japan,548
Louisiana State University,2017,Michigan,547
University of Missouri,2022,Michigan,547
University of Kansas,2013,Austria,547
Università degli Studi di Firenze,2007,Italy,547
San José State University,2009,California,547
Toyohashi University of Technology,2009,Japan,547
Hochschule für Angewandte Wissenschaften Hamburg,2010,United Kingdom,547
Kyoto University,2005,Japan,547
Rochester Institute of Technology,2002,Michigan,547
Technische Universität Darmstadt,2006,Germany,547
Technische Universität Dresden,2011,United Kingdom,547
Purdue University - West Lafayette,2013,Michigan,547
Friedrich-Alexander-Universität Erlangen-Nürnberg,2014,Hungary,547
Karlsruhe Institute of Technology,2012,Hungary,546
Hochschule Darmstadt UAS,2021,Spain,546
University of Oklahoma,2007,California,546
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2009,United Kingdom,546
Missouri University of Science and Technology,2014,Lincoln,546
Université de Sherbrooke,2017,Michigan,546
Missouri University of Science and Technology,2019,Michigan,546
University of New South Wales - Australian Defence Force Academy,2017,Australia,546
University of Tasmania,2001,Australia,546
GFR DHBW Ravensburg &amp; Oregon State University,2011,California,546
Virginia Polytechnic Institute and State University,2008,Virginia,546
University of Sydney,2012,Australia,545
Georgia Southern University,2010,Michigan,545
San José State University,2013,Lincoln,545
Universität Stuttgart,2010,Germany,545
UAS Kempten,2016,Austria,544
University of Toronto,2011,Germany,544
Tallinn TU UAS,2011,Austria,544
TAMK University of Applied Sciences,2022,Czech Republic,544
Białystok University of Technology,2022,Czech Republic,544
Aristotle University of Thessaloniki,2018,Italy,544
University of Sydney,2007,Australia,544
California State University Northridge,1998,Michigan,544
Wroclaw University of Technology,2015,Germany,544
University of Sydney,2018,Australia,544
Liverpool John Moores University,2012,United Kingdom,544
Czech Technical University in Prague,2014,Hungary,544
Florida Atlantic University,2015,Michigan,544
Clemson University,2014,Lincoln,543
University of Maryland,2007,California,543
Universität Stuttgart,2014,Italy,543
Technische Hochschule Mittelhessen,2015,Germany,543
Oakland University,2013,Michigan,543
Missouri University of Science and Technology,2017,Michigan,543
Osaka Sangyo University,2013,Japan,543
University of Florida,2019,Michigan,542
Auburn University,2018,Michigan,542
Shizuoka Institute of Science and Technology,2015,Japan,542
University of Texas at Austin,2010,Michigan,542
Edith Cowan University,2014,United Kingdom,542
Clemson University,2012,Michigan,542
Hochschule für Angewandte Wissenschaften Hamburg,2012,Italy,542
Fachhochschule München,2019,Germany,542
Swansea University,2007,Germany,542
Białystok University of Technology,2022,Austria,542
Aristotle University of Thessaloniki,2018,East,542
Osaka City University,2014,Japan,541
Politecnico di Torino,2006,Italy,541
École de Technologie Superieure,2016,Canada,541
Clemson University,2009,Virginia,541
Hochschule Niederrhein,2014,Italy,541
Concordia University,2013,Lincoln,541
Università della Calabria,2018,Italy,541
Iowa State University,2016,Canada,540
Drexel University,2022,Michigan,540
Missouri University of Science and Technology,1997,Michigan,540
University of Sydney,2005,Australia,540
University of Strathclyde,2006,United Kingdom,540
Ostbayerische Technische Hochschule Regensburg,2012,Germany,540
Universidade Estadual de Campinas,2015,Brasil,540
University of Washington,2002,Michigan,540
Saitama University,2019,Japan,540
Lund University,2014,Germany,540
Università degli studi di Padova,2016,Italy,539
University of Calgary,2018,Lincoln,539
Northwestern University,2016,Lincoln,539
Nihon Automobile College,2018,Japan,539
Fachhochschule Stralsund,2001,Australia,538
University of Burgundy - ISAT,2019,Czech Republic,538
Technical University of Munich,2016,Austria,538
University of Alberta,2019,Lincoln,538
Dwarkadas. J. Sanghvi College of Engineering,2019,India,538
Technische Hochschule Ostwestfalen-Lippe,2014,Hungary,538
Concordia University,2016,Michigan,538
Università degli Studi della Tuscia,2012,Spain,537
Georgia Southern University,2011,Michigan,537
University of New South Wales - Australian Defence Force Academy,2010,Australia,537
University of Western Australia,2001,Australia,537
Marquette University,1995,Michigan,537
University of California Berkeley,2013,Lincoln,537
McGill University,2001,Michigan,536
Milwaukee School of Engineering,1998,Michigan,536
Escola de Engenharia de São Carlos da Universidade de São Paulo,2011,Brasil,536
Kennesaw State University,1997,Michigan,536
Escola Politècnica Superior d'Enginyeria de Manresa,2022,Spain,536
University of Manitoba,2009,Michigan,536
University of Toledo,2016,Canada,535
Georgia Institute of Technology,2012,Michigan,535
Technische Hochschule Mittelhessen,2013,Germany,535
Clarkson University,1998,Michigan,535
Széchenyi István University,2015,Italy,535
California State Polytechnic University Pomona,2003,Michigan,535
University of Waterloo,2014,Michigan,535
University of Calgary,2017,Lincoln,535
Oakland University,2012,Michigan,535
University of Waterloo,2019,Michigan,535
Alma Mater Studiorum - Università di Bologna,2010,Italy,535
Westsächsische Hochschule Zwickau,2008,Germany,535
Tokyo University of Science,2012,Japan,535
Kyoto University,2006,Japan,534
TU Delft,2008,Michigan,534
Loughborough University,2018,United Kingdom,534
The University of Tokyo,2014,Japan,534
Duke University,2013,Michigan,534
University of Wisconsin-Madison,2016,Lincoln,534
Hochschule für Technik und Wirtschaft Mittweida,2011,Hungary,534
Université de Sherbrooke,2016,Michigan,534
Smt. Kashibai Navale College of Engineering,2018,India,533
Fachhochschule Joanneum Graz,2005,United Kingdom,533
Missouri University of Science and Technology,2010,California,533
Universität Stuttgart,2019,Germany,533
Hochschule Esslingen,2022,East,533
Rutgers The State University of New Jersey,2011,California,533
Universidad Simón Bolívar,2011,Michigan,533
UAS Kempten,2014,Germany,533
University of Liverpool,2016,United Kingdom,533
Aichi Institute of Technology,2018,Japan,532
Curtin University,2011,Australia,532
Michigan State University,2010,Michigan,532
École de Technologie Superieure,2002,Michigan,532
Politecnico di Torino,2011,Germany,532
Université du Québec à Trois-Rivières,2014,Michigan,532
University of South Florida,2014,Lincoln,532
Rutgers The State University of New Jersey,1995,Michigan,532
Brunel University London,2013,Germany,532
Georgia Institute of Technology,2019,Michigan,532
University of Victoria,2014,Lincoln,531
Kogakuin University,2014,Japan,531
Tokai University,2012,Japan,531
University of Leeds,2010,California,531
GFR DHBW Ravensburg &amp; Oregon State University,2013,Michigan,531
Universität Kassel,2014,Germany,531
Centro Universitário Facens,2018,Michigan,531
University of Central Florida,2015,Michigan,531
Rochester Institute of Technology,2011,Michigan,531
University of Burgundy - ISAT,2012,Germany,530
Università degli studi di Padova,2008,Italy,530
Kyushu Institute of Technology,2010,Japan,530
Hochschule Esslingen,2012,Michigan,530
Ben-Gurion University of the Negev,2015,Czech Republic,530
Universität Paderborn,2013,Germany,530
University of Michigan - Ann Arbor,2015,Lincoln,530
Alma Mater Studiorum - Università di Bologna,2011,United Kingdom,529
University of California Berkeley,2012,Lincoln,529
Duke University,2010,Michigan,529
Rzeszów University of Technology,2021,Czech Republic,529
Chalmers University of Technology,2008,United Kingdom,529
Università degli Studi di Roma La Sapienza,2011,Germany,529
Osaka University,2019,Japan,529
Kanagawa Institute of Technology,2006,Michigan,529
GFR DHBW Ravensburg &amp; Oregon State University,2010,United Kingdom,528
TU Delft,2010,United Kingdom,528
University of Maribor,2002,United Kingdom,528
University of Strathclyde,2015,Germany,528
Technical University of Munich,2015,Hungary,528
Portland State University,2012,Lincoln,528
University of Yamanashi,2012,Japan,528
Oxford Brookes University,2010,United Kingdom,528
Université Laval,2008,Michigan,528
Fachhochschule Joanneum Graz,2021,East,528
Rose-Hulman Institute of Technology,2017,Michigan,528
Rochester Institute of Technology,2016,Michigan,527
University of Texas at Arlington,2022,Michigan,527
University of Birmingham,2001,United Kingdom,527
Fachhochschule Coburg,2019,Michigan,527
Széchenyi István University,2016,Germany,527
The Ohio State University,1994,Michigan,527
Cardiff University Wales,2015,Italy,527
Loughborough University,2015,Germany,526
San José State University,1992,Michigan,526
Nippon Institute of Technology,2011,Australia,526
Michigan Technological University,2001,Michigan,526
University of Wales Trinity Saint David,2011,United Kingdom,526
Fachhochschule Joanneum Graz,2008,Michigan,526
Technische Universität Berlin,2016,Germany,526
University of Texas at San Antonio,2015,Lincoln,526
Duale Hochschule Baden-Württemberg Stuttgart,2011,Germany,526
Milwaukee School of Engineering,2003,Michigan,526
University of Applied Sciences Ravensburg-Weingarten,2011,Italy,525
Waseda University,2016,Japan,525
University of Modena and Reggio Emilia,2014,United Kingdom,525
Università degli studi di Padova,2008,Germany,525
RMIT University,2005,Australia,525
Kanazawa University,2003,Japan,525
Kookmin University,2018,Michigan,525
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2010,Germany,524
Kogakuin University,2012,Japan,524
University of Colorado at Boulder,2004,Michigan,524
Brunel University London,2017,United Kingdom,524
Tokyo City University,2006,Japan,524
Universität Stuttgart,2015,Austria,524
Rzeszów University of Technology,2021,East,524
Saginaw Valley State University,2015,Michigan,524
University of Michigan - Ann Arbor,1998,Michigan,524
Tongji University,2014,Japan,524
University of Strathclyde,2010,United Kingdom,524
Kanazawa University,2004,Japan,524
Fachhochschule Kiel,2011,United Kingdom,523
Shizuoka Institute of Science and Technology,2017,Japan,523
Università degli Studi di Napoli Federico II,2019,Italy,523
Università degli Studi di Parma,2017,Czech Republic,523
The Ohio State University,1996,Michigan,523
Alma Mater Studiorum - Università di Bologna,2014,Spain,523
Queensland University of Technology,2011,Australia,523
Wayne State University,2019,Lincoln,522
Georgia Institute of Technology,2022,Michigan,522
UAS Kempten,2011,Italy,522
Kanazawa University,2009,Japan,522
Swinburne University of Technology,2003,Australia,522
Ryerson University,2019,Michigan,522
Tokyo University of Agriculture and Technology,2015,Japan,522
Monash University,2014,Germany,522
University of Kansas,2017,Michigan,522
Ostfalia University of Applied Sciences,2007,Italy,522
Universität Paderborn,2011,United Kingdom,522
Politecnico di Torino,2008,Germany,521
Ulm University of Applied Sciences,2013,Austria,521
Tokyo City University,2004,Japan,521
Louisiana State University,2019,Michigan,521
The University of Akron,2015,Canada,521
Università della Calabria,2017,Italy,521
Kokushikan University,2006,Michigan,521
The University of Michigan-Dearborn,2012,Michigan,521
Kyoto Institute of Technology,2009,Japan,521
Karlsruhe Institute of Technology,2013,Germany,521
Technische Universität Berlin,2012,Italy,521
