Rank,University,Points
290,McGill University,49.6
291,Hochschule Darmstadt UAS,49.56
292,Université Laval,49.53
293,University Putra Malaysia,49.51
294,Technische Hochschule Mittelhessen,49.44
295,University of Patras,49.4
296,Ibaraki University,49.37
297,University of Wyoming,49.36
298,ESTACA - Paris-Saclay (Ecole Supérieure des Techniques Aéronautiques et de Construction Automobile),49.25
299,UAS Würzburg-Schweinfurt,49.18
300,University of Colorado at Boulder,49.1
301,University College Dublin,49.09
302,Kasetsart University,49.06
303,California State University Chico,49.02
304,University of Exeter,48.89
305,Chungbuk National University,48.82
306,Saitama University,48.82
307,University of Nebraska–Lincoln,48.78
308,University of Ulsan,48.77
309,Universitas Negeri Yogyakarta,48.71
310,Karlstad University,48.66
311,University of Malaga,48.66
312,University of Connecticut,48.65
313,University of Pittsburgh,48.63
314,ETH Zürich,48.62
315,Indian Institute of Technology Madras,48.58
316,Dalhousie University,48.55
317,Berlin School of Economics,48.54
318,University of Waterloo,48.5
319,Chiba University,48.47
320,Hochschule Pforzheim,48.47
321,LeTourneau University,48.45
322,Universidad Nacional Autónoma de México,48.38
323,Ben-Gurion University of the Negev,48.32
324,Worcester Polytechnic Institute,48.3
325,Universidade Federal de Santa Maria,48.2
326,Sheffield Hallam University,48.19
327,California State University Los Angeles,48.04
328,Universidad Simón Bolívar,48.04
329,Grand Valley State University,48.0
330,University of Saskatchewan,47.96
331,AGH University of Science and Technology,47.9
332,Embry-Riddle Aeronautical University,47.89
333,Lund University,47.89
334,National Institute of Technology - Rourkela,47.88
335,University of Puerto Rico,47.88
336,Hochschule für Technik und Wirtschaft Mittweida,47.87
337,Curtin University,47.86
338,University of Virginia,47.8
339,University of Toledo,47.7
340,Wayne State University,47.65
341,University of Ontario Institute of Technology,47.61
342,Cherepovets State University,47.55
343,Beijing Institute of Technology,47.47
344,Oakland University,47.41
345,University of Cambridge,47.41
346,Kobe University,47.39
347,Minnesota State University Mankato,47.3
348,Penn State Harrisburg,47.26
349,University of Kentucky,47.25
350,Delhi Technological University,47.19
351,University of Modena and Reggio Emilia,47.06
352,Iowa State University,46.93
353,National Institute of Technology - Calicut,46.88
354,Instituto Mauá de Tecnologia,46.85
355,University of Surrey,46.76
356,San Diego State University,46.75
357,Universidade de Lisboa - Instituto Superior Técnico,46.7
358,Universiti Teknologi MARA,46.7
359,University of Malta,46.7
360,Colorado School of Mines,46.67
361,Sebelas Maret University,46.65
362,University of Texas at Austin,46.65
363,University of Louisville,46.63
364,Cape Peninsula University of Technology,46.55
365,University of Ljubljana,46.52
366,National Institute of Technology - Karnataka,46.49
367,Shibaura Institute of Technology,46.45
368,TECNUN - University of Navarra,46.42
369,The University of Michigan-Dearborn,46.4
370,University of Perugia,46.4
371,Nicholls State University,46.39
372,University Carlos III of Madrid,46.31
373,McMaster University,46.3
374,University of Cadiz,46.2
375,Hope College,46.18
376,North Carolina State University,46.08
377,Vidyavardhini's College of Engineering and Technology,46.06
378,Okayama University,45.97
379,Queensland University of Technology,45.94
380,Thapar Institute of Engineering and Technology,45.86
381,Kanazawa Institute of Technology,45.84
382,Hunan University,45.78
383,Swansea University,45.77
384,West Virginia University,45.72
385,Louisiana State University,45.7
386,Università della Calabria,45.68
387,University of California Santa Barbara,45.63
388,HMR Institute of Technology & Management,45.62
389,Tokyo Metropolitan College of Industrial Technology,45.6
390,Rajarambapu Institute of Technology,45.58
391,Tennessee Technological University,45.58
392,University of Alabama at Birmingham,45.57
393,Case Western Reserve University,45.56
394,Madras Institute of Technology,45.54
395,Universidad Francisco de Vitoria,45.35
396,Technische Universität Dresden,45.34
397,Tel Aviv University,45.32
398,Università degli Studi di Cagliari,45.32
399,Nihon Automobile College,45.3
400,Aston University,45.28
401,Hochschule Niederrhein,45.26
402,Vanderbilt University,45.23
403,Tokyo City University,45.19
404,Florida Atlantic University,45.14
405,University of Victoria,45.12
406,Nippon Institute of Technology,45.08
407,Kyoto Institute of Technology,45.07
408,Pellissippi State Community College,45.03
409,Oklahoma State University - Stillwater,45.02
410,The University of Newcastle,45.02
411,Kansas State University,44.93
412,University of Hawaii at Manoa,44.92
413,University of Houston,44.92
414,Vishwakarma Institute of Information Technology,44.91
415,National Institute of Technology - Kurukshetra,44.9
416,Coventry University,44.88
417,Flinders University,44.88
418,University of North Dakota,44.85
419,Waseda University,44.84
420,University of Southern Denmark,44.78
421,Birla Institute of Science and Technology Pilani - Dubai,44.68
422,University College London,44.67
423,Slovak University of Technology in Bratislava,44.66
424,Nagoya Institute of Technology,44.61
425,University of Arizona,44.61
426,Poznan University of Technology,44.59
427,James Cook University,44.55
428,University of Portland,44.55
429,Sri Venkateswara College of Engineering,44.54
430,Brown University,44.53
431,Northern Illinois University,44.51
432,Massachusetts Institute of Technology,44.48
433,Nelson Mandela Metropolitan University,44.44
434,Binghamton University,44.39
435,University of Maribor,44.39
436,Saarland University,44.36
437,Kennesaw State University,44.35
438,St. Vincent Pallotti College of Engineering and Technology,44.35
439,University of Manchester,44.25
440,Yıldız Technical University,44.19
441,Helmut Schmidt Universität  Universität der Bundeswehr Hamburg,44.14
442,University of California San Diego,44.13
443,Lehigh University,44.11
444,University of Central Florida,44.07
445,Université du Québec à Trois-Rivières,44.07
446,Central Michigan University,43.98
447,Moscow Polytechnic University,43.98
448,Utsunomiya University,43.94
449,Lafayette College,43.87
450,Hacettepe University,43.86
451,Universität der Bundeswehr München,43.86
452,Ferdowsi University of Mashad,43.8
453,Nizhny Novgorod State Technical University,43.8
454,Lancaster  University,43.73
455,Iran University of Science and Technology - Arak,43.63
456,Politecnico di Milano,43.51
457,RMD Sinhgad School of Engineering,43.47
458,California State University Sacramento,43.43
459,University of Illinois at Chicago,43.43
460,Montana State University - Bozeman,43.38
461,University of Burgundy - ISAT,43.29
462,University of North Florida,43.24
463,Clarkson University,43.21
464,Doshisha University,43.16
465,University of Ottawa,43.1
466,Birmingham City University,43.08
467,Otto-von-Guericke-Universität Magdeburg,43.07
468,Białystok University of Technology,43.05
469,California Baptist University,43.03
470,University of Colorado Denver,42.96
471,M.H. Saboo Siddik College of Engineering,42.94
472,Hochschule RheinMain,42.87
473,Universitatea Transilvania din Braşov,42.87
474,Università degli Studi di Parma,42.82
475,Universidad Central de Venezuela,42.72
476,United States Air Force Academy,42.69
477,Helwan University (‏جامعة حلوان),42.6
478,Saraswati College of Engineering,42.53
479,Kyushu Institute of Technology,42.51
480,Purdue University - Northwest,42.49
481,College of Science and Technology Nihon University,42.46
482,Universidad Europea de Madrid,42.43
483,Sepuluh Nopember Institute of Technology,42.42
484,Instituto Tecnológico de Chihuahua,42.33
485,Tokyo Denki University,42.3
486,University of Windsor,42.25
487,State University of New York at Buffalo,42.23
488,Università del Salento,42.18
489,North Carolina Agricultural and Technical State University,42.14
490,University of South Australia,42.13
491,Western Michigan University,42.1
492,Keio University,42.02
493,Liberty University,41.95
494,Hochschule Mannheim,41.92
495,TAMK University of Applied Sciences,41.91
496,Carnegie Mellon University,41.84
497,Università degli Studi di Roma Tor Vergata,41.79
498,Universidad Rey Juan Carlos,41.73
499,Birla Institute of Technology Mesra,41.7
500,Texas Tech University,41.69
501,Hochschule Hannover,41.66
502,Tokyo Metropolitan University,41.63
503,Colorado State University,41.57
504,Acharya Institute of Technology,41.54
505,Indiana University – Purdue University Indianapolis,41.53
506,Galgotias University,41.51
507,Lovely Professional University,41.35
508,Universidade Federal do Rio de Janeiro,41.27
509,Chulalongkorn University,41.25
510,Hokkaido Automotive Engineering College,41.25
511,University of New Hampshire,41.17
512,Ruhr-Universität Bochum,41.15
513,Escola Universitària Salesiana de Sarrià (UAB),41.09
514,Columbia University,41.05
515,Pittsburg State University,41.05
516,Rajendra Mane College of Engineering and Technology,40.97
517,Aalborg University,40.96
518,PSG College of Technology,40.96
519,Universidad de Vigo,40.95
520,University of North Carolina at Charlotte,40.94
521,University of North Texas,40.9
522,Université de Sherbrooke,40.88
523,Kokushikan University,40.81
524,University of Split,40.8
525,Warsaw University of Technology,40.78
526,Universidade Federal do Paraná,40.76
527,Wichita State University,40.76
528,Università degli Studi di Catania,40.75
529,Bradley University,40.74
530,University of Georgia,40.72
531,Missouri State University,40.6
532,Universidad Panamericana Sede México,40.57
533,Arizona State University,40.49
534,Universidad Iberoamericana,40.39
535,Kumoh National Institute of Technology,40.24
536,Hokkaido University,40.23
537,Hochschule Heilbronn,40.22
538,Universidade Federal do Rio Grande do Sul,40.14
539,De Montfort University,40.13
540,Lakehead University,40.01
541,PES Institute of Technology,40.0
542,University of Guelph,39.95
543,Università degli Studi della Tuscia,39.94
544,Niigata University,39.93
545,Fr Conceicao Rodrigues College of Engineering,39.92
546,Silesian University of Technology,39.91
547,Amrutvahini College Of Engineering Sangamner,39.87
548,Ecole Nationale d'Ingénieurs de Metz,39.87
549,Kumaraguru College of Technology,39.79
550,Universidad Panamericana - Aguascalientes,39.75
551,Kinki University,39.69
552,Toyohashi University of Technology,39.67
553,Cairo University,39.55
554,Tokyo University of Agriculture and Technology,39.48
555,Maejo University,39.47
