Rank,University,Year,Points
165,Friedrich-Alexander-Universität Erlangen-Nürnberg,2014,1974.0
166,Auburn University,2016,1972.0
167,Universität Kassel,2013,1969.0
168,Technische Universität Graz,2014,1965.0
169,Aristotle University of Thessaloniki,2014,1960.0
170,Ostbayerische Technische Hochschule Regensburg,2018,1956.0
171,Helsinki Metropolia University of Applied Sciences,2008,1955.0
172,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2008,1955.0
173,Fachhochschule München,2012,1950.0
174,Fachhochschule Coburg,2015,1942.0
175,Politecnico di Torino,2010,1932.0
176,University of Missouri,2015,1931.0
177,Friedrich-Alexander-Universität Erlangen-Nürnberg,2013,1927.0
178,GFR DHBW Ravensburg &amp; Oregon State University,2013,1919.0
179,Ulm University of Applied Sciences,2019,1915.0
180,Oxford Brookes University,2007,1906.0
181,Università di Pisa,2019,1903.0
182,Technische Universität Berlin,2017,1898.0
183,University of Toledo,2016,1888.0
184,Fachhochschule München,2016,1887.0
185,Oxford Brookes University,2012,1885.0
186,Széchenyi István University,2015,1881.0
187,The University of Akron,2019,1879.0
188,University of Pittsburgh,2016,1876.0
189,Hochschule Esslingen,2009,1874.0
190,Karlsruhe Institute of Technology,2009,1873.0
191,University of Bath,2014,1870.0
192,Fachhochschule Konstanz,2019,1867.0
193,University of Kansas,2013,1862.0
194,Hochschule Esslingen,2015,1861.0
195,University of Applied Sciences Ravensburg-Weingarten,2012,1849.0
196,Ecole Nationale d'Ingénieurs de Metz,2022,1847.0
197,Wroclaw University of Technology,2016,1841.0
198,Fachhochschule Joanneum Graz,2006,1830.0
199,University of Western Australia,2005,1821.0
200,Technische Universität Wien,2009,1821.0
201,Karlsruhe Institute of Technology,2018,1817.0
202,Fachhochschule Coburg,2021,1815.0
203,Czech Technical University in Prague,2015,1814.0
204,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2012,1812.0
205,University of Illinois at Urbana-Champaign,2022,1808.0
206,University of Michigan - Ann Arbor,2014,1806.0
207,RMIT University,2007,1805.0
208,University of Applied Sciences Ravensburg-Weingarten,2014,1796.0
209,Technische Universität Berlin,2015,1791.0
210,Loughborough University,2015,1788.0
211,Fachhochschule Konstanz,2015,1788.0
212,University of Wisconsin-Madison,2008,1775.0
213,Fachhochschule Joanneum Graz,2017,1766.0
214,University of Modena and Reggio Emilia,2018,1766.0
215,Czech Technical University in Prague,2022,1765.0
216,Ostbayerische Technische Hochschule Regensburg,2017,1757.0
217,Universitat Politécnica de Valéncia,2022,1753.0
218,University of Western Australia,2007,1753.0
219,California State Polytechnic University Pomona,2007,1751.0
220,Széchenyi István University,2019,1747.0
221,Hochschule Darmstadt UAS,2021,1746.0
222,Białystok University of Technology,2018,1745.0
223,RMIT University,2004,1744.0
224,Rochester Institute of Technology,2011,1735.0
225,Fachhochschule Coburg,2022,1728.0
226,University Of Hertfordshire,2019,1723.0
227,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2009,1719.0
228,Karlsruhe Institute of Technology,2008,1719.0
229,Tokyo Denki University,2005,1715.0
230,University of Applied Sciences Ravensburg-Weingarten,2019,1715.0
231,Georgia Institute of Technology,2002,1709.0
232,Technische Universität Graz,2005,1704.0
233,Chalmers University of Technology,2012,1697.0
234,Fachhochschule Joanneum Graz,2010,1695.0
235,University of Bath,2011,1694.0
236,The University of Akron,2011,1693.0
237,Karlsruhe Institute of Technology,2017,1691.0
238,University of Washington,2013,1685.0
239,University of Michigan - Ann Arbor,2018,1685.0
240,Helsinki Metropolia University of Applied Sciences,2007,1682.0
241,Georgia Institute of Technology,2003,1679.0
242,Fachhochschule Konstanz,2014,1679.0
243,TAMK University of Applied Sciences,2022,1678.0
244,University of Western Australia,2008,1676.0
245,University of Toledo,2015,1673.0
246,University of Michigan - Ann Arbor,2010,1669.0
247,Technical University of Munich,2015,1669.0
248,University of Bath,2018,1668.0
249,Centro Universitário da FEI,2012,1668.0
250,Politecnico di Torino,2007,1667.0
251,Sophia University,2008,1665.0
252,University of Wollongong,2003,1662.0
253,The University of Akron,2017,1658.0
254,Centro Universitário da FEI,2013,1656.0
255,Monash University,2010,1655.0
256,University of Applied Sciences Ravensburg-Weingarten,2013,1649.0
257,École de Technologie Superieure,2001,1647.0
258,University Of Hertfordshire,2017,1646.0
259,University of Western Australia,2009,1644.0
260,Westsächsische Hochschule Zwickau,2009,1643.0
261,Carleton University,2016,1642.0
262,Hochschule für Angewandte Wissenschaften Hamburg,2012,1637.0
263,McGill University,2016,1631.0
264,Università degli studi di Padova,2019,1630.0
265,Alma Mater Studiorum - Università di Bologna,2019,1627.0
266,Hochschule RheinMain,2010,1623.0
267,University of Wisconsin-Madison,2011,1620.0
268,The University of Akron,2013,1614.0
269,Hochschule Karlsruhe - Technik und Wirtschaft,2021,1611.0
270,Universität Paderborn,2016,1609.0
271,University of Oklahoma,2009,1607.0
272,Technische Universität Wien,2008,1607.0
273,GFR DHBW Ravensburg &amp; Oregon State University,2017,1603.0
274,Auburn University,2009,1600.0
275,University of Wollongong,2006,1599.0
276,Hochschule Karlsruhe - Technik und Wirtschaft,2013,1592.0
277,Tallinn TU UAS,2012,1583.0
278,Technical University of Munich,2006,1582.0
279,Purdue University - West Lafayette,2022,1581.0
280,University of Wollongong,2004,1581.0
281,University of Cincinnati,2007,1580.0
282,Auburn University,2003,1579.0
283,Hochschule Karlsruhe - Technik und Wirtschaft,2016,1576.0
284,Oxford Brookes University,2015,1572.0
285,University of Kansas,2014,1572.0
286,Cardiff University Wales,2017,1572.0
287,Fachhochschule Konstanz,2013,1571.0
288,Technische Universität Berlin,2016,1571.0
289,École de Technologie Superieure,2009,1569.0
290,Politecnico di Torino,2008,1569.0
291,Hochschule Esslingen,2016,1568.0
292,University of Toronto,2007,1564.0
293,University of Kansas,2015,1558.0
294,Ostbayerische Technische Hochschule Regensburg,2010,1555.0
295,Auburn University,2013,1554.0
296,University of Toronto,2006,1553.0
297,University of Michigan - Ann Arbor,2006,1551.0
298,Ostbayerische Technische Hochschule Regensburg,2013,1550.0
299,Hochschule Darmstadt UAS,2016,1549.0
300,Technische Universiteit Eindhoven,2009,1549.0
301,University of Kansas,2007,1545.0
302,Politecnico di Torino,2011,1545.0
303,University of Western Australia,2004,1544.0
304,Rochester Institute of Technology,2007,1542.0
305,University of Oklahoma,2010,1540.0
306,Ostbayerische Technische Hochschule Regensburg,2019,1535.0
307,University of Washington,2012,1534.0
308,Sophia University,2010,1533.0
309,Kokushikan University,2007,1533.0
310,Universität Paderborn,2013,1532.0
311,University of Applied Sciences Ravensburg-Weingarten,2015,1529.0
312,Sophia University,2006,1527.0
313,University of Illinois at Urbana-Champaign,2008,1527.0
314,Czech Technical University in Prague,2017,1526.0
315,University of Michigan - Ann Arbor,2012,1526.0
316,Cardiff University Wales,2015,1526.0
317,Tokyo Denki University,2007,1525.0
318,The University of Akron,2016,1523.0
319,École de Technologie Superieure,2012,1523.0
320,Fachhochschule Stralsund,2012,1519.0
321,Rzeszów University of Technology,2021,1517.0
322,Lund University,2019,1517.0
323,Yıldız Technical University,2019,1516.0
324,National Technical University of Athens,2019,1515.0
325,Hochschule für Angewandte Wissenschaften Hamburg,2010,1515.0
326,Carleton University,2019,1513.0
327,The Ohio State University,2001,1513.0
328,UAS Kempten,2016,1513.0
329,Alma Mater Studiorum - Università di Bologna,2021,1510.0
330,University of Toronto,2008,1510.0
331,University of Modena and Reggio Emilia,2022,1510.0
332,Hochschule Karlsruhe - Technik und Wirtschaft,2018,1506.0
333,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2006,1505.0
334,Rutgers The State University of New Jersey,2019,1504.0
335,Centro Universitário da FEI,2009,1504.0
336,UAS Würzburg-Schweinfurt,2015,1503.0
337,University of Maryland,2008,1502.0
338,University of Huddersfield,2013,1501.0
339,École de Technologie Superieure,2016,1501.0
340,Politecnico di Milano,2018,1500.0
341,Sophia University,2007,1497.0
342,University of Toledo,2007,1495.0
343,Fachhochschule Coburg,2010,1493.0
344,University of Wisconsin-Madison,2012,1488.0
345,École de Technologie Superieure,2008,1486.0
346,Auburn University,2007,1476.0
347,Fachhochschule München,2018,1474.0
348,University of Michigan - Ann Arbor,2009,1473.0
349,The University of Michigan-Dearborn,2015,1472.0
350,University of Michigan - Ann Arbor,2011,1471.0
351,Rutgers The State University of New Jersey,2018,1469.0
352,Hochschule Darmstadt UAS,2017,1465.0
353,Dartmouth College,2004,1463.0
354,Poznan University of Technology,2018,1459.0
355,University of West Bohemia,2019,1458.0
356,Shibaura Institute of Technology,2007,1457.0
357,Rochester Institute of Technology,2006,1456.0
358,Wroclaw University of Technology,2018,1454.0
359,University of Oklahoma,2006,1451.0
360,Fachhochschule Stralsund,2021,1451.0
361,Universität Paderborn,2019,1449.0
362,University Of Hertfordshire,2009,1448.0
363,Rochester Institute of Technology,2012,1444.0
364,Technische Universität Darmstadt,2009,1444.0
365,Auburn University,2006,1444.0
366,Fachhochschule Stralsund,2006,1439.0
367,McGill University,2013,1438.0
368,Oregon State University,2009,1436.0
369,San José State University,2014,1436.0
370,University of Toledo,2006,1433.0
371,Centro Universitário Facens,2017,1432.0
372,Universität Paderborn,2018,1428.0
373,Kettering University,2013,1428.0
374,Edith Cowan University,2014,1423.0
375,UAS Kempten,2012,1422.0
376,Universität Kassel,2016,1419.0
377,Osaka University,2011,1419.0
378,UAS Kempten,2014,1417.0
379,University Of Hertfordshire,2011,1415.0
380,Budapest University of Technology and Economics,2012,1413.0
381,Fachhochschule Stralsund,2010,1413.0
382,University of Toledo,2008,1412.0
383,Hochschule für Angewandte Wissenschaften Hamburg,2007,1412.0
384,Carleton University,2018,1409.0
385,Fachhochschule München,2019,1408.0
386,University of Wollongong,2002,1407.0
387,Hochschule für Angewandte Wissenschaften Hamburg,2017,1404.0
388,Drexel University,2005,1404.0
389,École de Technologie Superieure,2015,1403.0
390,TU Delft,2009,1401.0
391,University of Western Australia,2006,1399.0
392,Centro Universitário Facens,2016,1397.0
393,TU Delft,2010,1395.0
394,The University of Akron,2006,1395.0
395,Westsächsische Hochschule Zwickau,2008,1395.0
396,Universität Bayreuth,2006,1394.0
397,Aristotle University of Thessaloniki,2018,1394.0
398,Rochester Institute of Technology,2018,1392.0
399,University of Cincinnati,2019,1390.0
400,TU Delft,2007,1390.0
401,University of Wisconsin-Madison,2007,1389.0
402,University of Illinois at Urbana-Champaign,2017,1389.0
403,Budapest University of Technology and Economics,2021,1387.0
404,University of Toronto,2004,1387.0
405,Technische Hochschule Ostwestfalen-Lippe,2016,1386.0
406,École de Technologie Superieure,2013,1384.0
407,Kokushikan University,2005,1383.0
408,Hochschule RheinMain,2016,1380.0
409,AGH University of Science and Technology,2016,1379.0
410,Missouri University of Science and Technology,2012,1379.0
411,Tokyo Denki University,2006,1377.0
412,Rzeszów University of Technology,2022,1376.0
413,Technische Universiteit Eindhoven,2007,1374.0
414,Missouri University of Science and Technology,2017,1373.0
415,University of West Bohemia,2017,1373.0
416,University Of Hertfordshire,2006,1372.0
417,Università degli Studi della Tuscia,2012,1368.0
418,Fachhochschule Coburg,2009,1365.0
419,Georgia Institute of Technology,2001,1365.0
420,University of Toronto,2002,1362.0
421,University of Oklahoma,2008,1360.0
422,Brunel University London,2009,1360.0
423,Technische Universität Braunschweig,2008,1359.0
424,University of Texas at Arlington,2022,1356.0
425,Białystok University of Technology,2019,1354.0
426,Alma Mater Studiorum - Università di Bologna,2014,1354.0
427,University of Queensland,2006,1351.0
428,University of Toronto,2015,1350.0
429,Hochschule für Technik und Wirtschaft Mittweida,2012,1350.0
430,Technical University of Munich,2008,1349.0
431,AGH University of Science and Technology,2018,1349.0
432,North Carolina State University,2022,1348.0
433,San José State University,2015,1344.0
434,Technische Universität Bergakademie Freiberg,2011,1344.0
435,Rochester Institute of Technology,2003,1340.0
436,Centro Universitário da FEI,2011,1339.0
437,Virginia Polytechnic Institute and State University,2019,1339.0
438,Karlsruhe Institute of Technology,2019,1332.0
439,Technische Hochschule Mittelhessen,2015,1331.0
440,Virginia Polytechnic Institute and State University,2017,1329.0
441,Iowa State University,2016,1326.0
442,Fachhochschule Hannover,2013,1325.0
443,Tongji University,2017,1325.0
444,Technische Hochschule Mittelhessen,2019,1324.0
445,Fachhochschule München,2010,1323.0
446,Rheinisch-Westfälische Technische Hochschule Aachen,2013,1321.0
447,Centro Universitário da FEI,2008,1320.0
448,University of Connecticut,2016,1319.0
449,University of Waterloo,2005,1318.0
450,Clemson University,2009,1315.0
451,University Of Hertfordshire,2012,1315.0
452,University of Kansas,2017,1313.0
453,University of Kansas,2006,1312.0
454,Universität Paderborn,2017,1311.0
455,University of South Florida,2018,1311.0
456,Yıldız Technical University,2017,1311.0
457,Duale Hochschule Baden-Württemberg Ravensburg,2009,1310.0
458,Missouri University of Science and Technology,2019,1307.0
459,Auburn University,2014,1306.0
460,Missouri University of Science and Technology,2013,1305.0
461,University of Nebraska–Lincoln,2022,1304.0
462,Technische Universität Darmstadt,2011,1304.0
463,Czech Technical University in Prague,2018,1301.0
464,University of Wisconsin-Madison,2014,1300.0
465,San José State University,2017,1299.0
466,Alma Mater Studiorum - Università di Bologna,2012,1299.0
467,Rensselaer Polytechnic Institute,2008,1298.0
468,University of Bath,2017,1297.0
469,Chalmers University of Technology,2003,1297.0
470,VŠB - Technical University of Ostrava,2022,1296.0
471,University of Missouri,2010,1294.0
472,Technical University of Munich,2009,1291.0
473,UAS Kempten,2021,1291.0
474,University of Texas at Arlington,2004,1290.0
475,Technische Hochschule Ostwestfalen-Lippe,2014,1288.0
476,KTH Royal Institute of Technology,2006,1286.0
477,Hochschule Karlsruhe - Technik und Wirtschaft,2014,1280.0
478,Alma Mater Studiorum - Università di Bologna,2017,1280.0
479,Oakland University,2015,1280.0
480,RMIT University,2008,1279.0
481,Hochschule Karlsruhe - Technik und Wirtschaft,2008,1279.0
482,Oakland University,2013,1279.0
483,Politecnico di Milano,2016,1279.0
484,Czech Technical University in Prague,2011,1278.0
485,University of Toronto,2005,1278.0
486,University of Maryland,2009,1277.0
487,University of Texas at Arlington,2018,1276.0
488,Loughborough University,2010,1276.0
489,The University of Akron,2007,1275.0
490,University of Michigan - Ann Arbor,2015,1273.0
491,Fachhochschule Stralsund,2002,1272.0
492,Oxford Brookes University,2008,1272.0
493,Karlsruhe Institute of Technology,2007,1271.0
494,Chalmers University of Technology,2013,1270.0
495,University of Wisconsin-Madison,2016,1269.0
496,Poznan University of Technology,2015,1267.0
497,Technische Universiteit Eindhoven,2008,1266.0
498,Politecnico di Torino,2009,1265.0
499,Rochester Institute of Technology,2004,1264.0
500,Kanagawa Institute of Technology,2008,1262.0
501,Centro Universitário Facens,2011,1261.0
502,Monash University,2006,1261.0
503,Alma Mater Studiorum - Università di Bologna,2018,1260.0
504,University of Pittsburgh,2015,1259.0
505,Université du Québec à Trois-Rivières,2015,1255.0
506,Universität Kassel,2015,1254.0
507,Széchenyi István University,2018,1253.0
508,University of Burgundy - ISAT,2012,1249.0
509,Purdue University - West Lafayette,2007,1248.0
510,Texas A&amp;M University,2006,1248.0
511,Western University,2010,1247.0
512,University of Bath,2012,1247.0
513,University of Southampton,2019,1245.0
514,University Of Hertfordshire,2008,1244.0
515,Michigan State University,2018,1244.0
516,Pennsylvania State University,2001,1244.0
517,Technion - Israel Institute of Technology,2016,1243.0
518,University of New South Wales,2006,1243.0
519,University of Toronto,2003,1243.0
520,Universität Paderborn,2009,1242.0
521,Ulm University of Applied Sciences,2018,1242.0
522,Technische Universität Wien,2012,1240.0
523,University of Maribor,2012,1239.0
524,Universität Paderborn,2012,1239.0
525,The University of Akron,2015,1239.0
526,Dartmouth College,2005,1236.0
527,University of Missouri,2014,1236.0
528,Shibaura Institute of Technology,2005,1235.0
529,University of Illinois at Urbana-Champaign,2013,1234.0
530,Clemson University,2006,1232.0
531,TU Delft,2006,1231.0
532,Louisiana State University,2015,1230.0
533,University of Waterloo,2019,1229.0
534,University of Maribor,2013,1229.0
535,Hochschule Karlsruhe - Technik und Wirtschaft,2019,1229.0
536,University of Strathclyde,2006,1229.0
537,Universität Bayreuth,2007,1229.0
538,Széchenyi István University,2017,1229.0
539,University of Huddersfield,2019,1228.0
540,Ostbayerische Technische Hochschule Regensburg,2011,1228.0
541,University of Modena and Reggio Emilia,2006,1228.0
542,Loughborough University,2017,1227.0
543,Technische Universität Berlin,2013,1226.0
544,Fachhochschule Kiel,2009,1225.0
545,Michigan State University,2013,1225.0
546,University of Toronto,2016,1225.0
547,University of Toledo,2014,1224.0
548,Technische Universität Wien,2013,1223.0
549,California State Polytechnic University Pomona,2016,1222.0
550,Oxford Brookes University,2011,1222.0
551,UAS Kempten,2013,1220.0
552,Aristotle University of Thessaloniki,2012,1219.0
553,University of Kansas,2009,1218.0
554,Ostbayerische Technische Hochschule Regensburg,2012,1218.0
555,Michigan State University,2008,1218.0
556,Università degli Studi di Firenze,2005,1217.0
557,Oakland University,2012,1217.0
558,Technische Universität Wien,2011,1217.0
559,University of Washington,2016,1216.0
560,Rochester Institute of Technology,2016,1215.0
561,Chalmers University of Technology,2011,1213.0
562,The University of Akron,2014,1212.0
563,University of Illinois at Urbana-Champaign,2007,1209.0
564,San José State University,2016,1209.0
565,The University of Michigan-Dearborn,2016,1208.0
566,University Of Hertfordshire,2013,1208.0
567,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2007,1206.0
568,Hochschule für Angewandte Wissenschaften Hamburg,2009,1206.0
569,VŠB - Technical University of Ostrava,2019,1205.0
570,Universität Paderborn,2011,1204.0
571,Rensselaer Polytechnic Institute,2007,1203.0
572,Kokushikan University,2006,1202.0
573,Budapest University of Technology and Economics,2011,1202.0
574,Ostfalia University of Applied Sciences,2008,1200.0
575,Louisiana State University,2017,1200.0
576,Hochschule Darmstadt UAS,2018,1200.0
577,Loughborough University,2006,1199.0
578,University of Cincinnati,2013,1197.0
579,Missouri University of Science and Technology,2014,1197.0
580,Michigan State University,2006,1196.0
581,Auburn University,2018,1195.0
582,Iowa State University,2015,1195.0
583,Michigan State University,2015,1194.0
584,University of Michigan - Ann Arbor,2013,1194.0
585,University of Illinois at Urbana-Champaign,2015,1194.0
586,Helsinki Metropolia University of Applied Sciences,2005,1194.0
587,University Of Hertfordshire,2016,1193.0
588,Saarland University,2012,1192.0
589,University of South Florida,2019,1190.0
590,Hochschule für Angewandte Wissenschaften Hamburg,2008,1190.0
591,University of Minnesota Twin Cities,2018,1189.0
592,Kanagawa Institute of Technology,2004,1189.0
593,Ryerson University,2005,1187.0
594,Technische Universität Berlin,2019,1186.0
595,University of Kansas,2011,1186.0
596,Oxford Brookes University,2005,1185.0
597,Università degli studi di Padova,2014,1184.0
598,Clemson University,2007,1183.0
599,Centro Universitário da FEI,2010,1182.0
600,Ostbayerische Technische Hochschule Regensburg,2015,1182.0
601,University of Maribor,2015,1179.0
602,McGill University,2012,1179.0
603,University of Waterloo,2014,1174.0
604,Fachhochschule Konstanz,2011,1174.0
605,UAS Kempten,2015,1171.0
606,Università degli Studi di Roma Tor Vergata,2017,1171.0
607,Technische Hochschule Köln,2009,1170.0
608,University of Birmingham,2008,1170.0
609,Helsinki Metropolia University of Applied Sciences,2009,1170.0
610,University of Seville,2019,1169.0
611,K. J. Somaiya College of Engineering,2018,1169.0
612,Technische Universität Bergakademie Freiberg,2009,1169.0
613,Iowa State University,2019,1167.0
614,University of Queensland,2004,1167.0
615,University of Kansas,2012,1166.0
616,Technische Universität Braunschweig,2006,1166.0
617,Cardiff University Wales,2006,1163.0
618,Rensselaer Polytechnic Institute,2009,1163.0
619,Michigan State University,2014,1163.0
620,Fachhochschule Stralsund,2019,1162.0
621,Chalmers University of Technology,2014,1161.0
622,Università degli Studi di Roma La Sapienza,2013,1160.0
623,University of Connecticut,2018,1156.0
624,Università degli Studi di Roma La Sapienza,2011,1156.0
625,Fachhochschule Kiel,2007,1155.0
626,Hochschule Karlsruhe - Technik und Wirtschaft,2017,1153.0
627,Università di Pisa,2022,1153.0
628,University of Bath,2010,1153.0
629,Sophia University,2012,1153.0
630,Technische Universität Braunschweig,2007,1151.0
631,University of the West of England,2019,1151.0
632,Fachhochschule Stralsund,2007,1150.0
