Rank,University,Points
503,University of Louisiana at Lafayette,210.25
504,University of Central Lancashire,209.8
505,University of Arizona,209.33
506,Reykjavík University,208.0
507,St. Cloud State University,207.38
508,Chulalongkorn University,207.0
509,Binghamton University,206.0
510,Thakur College of Engineering and Technology,206.0
511,Instituto Tecnológico de Chihuahua,205.62
512,Monroe County Community College,204.33
513,University of British Columbia - Okanagan,204.2
514,University of Moratuwa,203.0
515,California State University Los Angeles,202.83
516,Universidad Nacional Autónoma de México,202.75
517,University of Ottawa,201.0
518,Università degli Studi di Catania,201.0
519,Universitatea Transilvania din Braşov,200.61
520,University of California Santa Barbara,200.0
521,Victoria University Australia,199.4
522,University Carlos III of Madrid,199.36
523,University of Malaga,199.0
524,Hokkaido Automotive Engineering College,198.0
525,Florida International University,197.43
526,University of Southern Denmark,195.2
527,Gdańsk University of Technology,195.12
528,Escola Universitària Salesiana de Sarrià (UAB),195.0
529,Hoseo University,194.67
530,Warsaw University of Technology,194.54
531,University of Wyoming,194.25
532,Yeungnam University College,194.0
533,Universidad Europea de Madrid,193.32
534,University of Texas at San Antonio,192.2
535,University of Patras,192.0
536,Stevens Institute of Technology,191.89
537,University of Split,191.6
538,Pittsburg State University,189.75
539,Kyushu Sangyo University,189.0
540,Washington State University,189.0
541,San Diego State University,188.5
542,Slovak University of Technology in Bratislava,188.4
543,PSG College of Technology,188.25
544,University of Minnesota Duluth,188.17
545,G.V.Acharya Institute of Engineering & Technology,188.0
546,University of Utah,187.86
547,University of Dundee,187.67
548,Purdue University - Northwest,187.2
549,Arab Academy for Science Technology & Maritime Transport (AASTMT),186.0
550,The University of Texas at Dallas,185.0
551,University of Illinois at Chicago,184.5
552,Aston University,184.33
553,Hiroshima Institute of Technology,184.17
554,University of the Basque Country,184.0
555,Universidad Central de Venezuela,183.6
556,SRM Institute of Science and Technology NCR Campus,183.5
557,University of Perugia,183.2
558,Pune Vidyarti Griha's college of Engineering and Technology,183.0
559,J.C. Bose University of Science and Technology YMCA,182.0
560,College of Industrial Technology Nihon University,181.82
561,Birmingham City University,181.5
562,ESTACA - Paris-Saclay (Ecole Supérieure des Techniques Aéronautiques et de Construction Automobile),181.0
563,Colorado Mesa University,180.5
564,Okayama University of Science,180.5
565,Berlin School of Economics,180.33
566,Tel Aviv University,180.2
567,National University of Sciences and Technology - Karachi,179.8
568,Fachhochschule Dortmund,179.64
569,Newcastle University,179.33
570,California State University Fresno,179.0
571,Temple University,178.48
572,Bergische Universität Wuppertal,178.18
573,Tsinghua University,178.0
574,Imperial College London,177.5
575,Isfahan University of Technology,176.0
576,Symbiosis Institute of Technology,176.0
577,Indian Institute of Technology Kanpur,175.0
578,National Institute of Technology - Kurukshetra,175.0
579,Universidad del Zulia,174.67
580,Cape Peninsula University of Technology,174.5
581,Marquette University,173.73
582,California State University Long Beach,173.5
583,Guangxi University of Science and Technology,173.0
584,The University of Kitakyushu,173.0
585,Universidad Politecnica Salesiana,172.0
586,Syracuse University,171.5
587,Koblenz University of Applied Science,171.0
588,University of Ulster,169.8
589,Technische Hochschule Lübeck,169.67
590,Virginia Commonwealth University,169.0
591,University of Edinburgh,168.33
592,Unidad Profesional Interdisciplinaria en Ingeniería y Tecnologías Avanzadas or UPIITA,168.0
593,University of Miskolc,167.6
594,Ana G. Méndez University - Gurabo,167.5
595,Indian Institute of Technology Bombay,167.5
596,UNESP - Campus de Ilha Solteira,167.0
597,University of the West of Scotland,167.0
598,Indian Institute of Technology Kharagpur,166.75
599,Miami University,166.0
600,Tokyo Institute of Technology,166.0
601,Memorial University of Newfoundland,165.75
602,North Dakota State University,165.44
603,Universidad Iberoamericana,164.0
604,Universidade de Brasília,164.0
605,Universidad Panamericana Sede México,163.83
606,Sebelas Maret University,163.5
607,Technische Universität Dortmund,163.0
608,Universidad Nacional Experimental Politécnica,162.67
609,Gunma University,161.5
610,Tottori University,161.44
611,Ferris State University,161.18
612,University of Ljubljana,161.0
613,University of Cambridge,160.56
614,Universidade Federal de Itajubá - Itajubá,160.5
615,Universidade Federal do Paraná,158.5
616,Sheffield Hallam University,158.13
617,Birla Institute of Technology Mesra,158.0
618,Nicholls State University,157.0
619,University of South Carolina,157.0
620,Lovely Professional University,156.0
621,Southern Illinois University Edwardsville,155.17
622,Universidad de Vigo,154.54
623,University of Portsmouth,154.47
624,Belgorod state technological university named after V. G. Shukhov,154.0
625,Graphic Era University,154.0
626,Iran University of Science and Technology - Arak,154.0
627,Universidade Federal do Ceará,153.0
628,Politecnico di Bari,152.2
629,Faculty of Textile Science & Technology. Shinshu University,151.4
630,Aligarh Muslim University,151.25
631,Zhejiang University City College,151.0
632,National Institute of Technology - Karnataka,150.67
633,Rajarambapu Institute of Technology,150.0
634,HAN University of Applied Sciences,149.5
635,University of Nottingham,149.0
636,Vidyavardhini's College of Engineering and Technology,149.0
637,Thapar Institute of Engineering and Technology,148.92
638,Universidad Rey Juan Carlos,148.71
639,Polo Universitario de Volta Redonda - Universidade Federal Fluminense,148.4
640,Hochschule Offenburg,147.6
641,Universidad Autónoma del Estado de México,147.17
642,DHA Suffa University,146.0
643,Nelson Mandela Metropolitan University,146.0
644,Vishwakarma Institute of Information Technology,146.0
645,Universität der Bundeswehr München,145.6
646,University of Alabama at Birmingham,145.0
647,University of St. Thomas,142.75
648,Ural State University of Railway Transport,142.12
649,University of Delhi,142.0
650,Meisei University,141.79
651,Universidade Tecnológica Federal do Paraná,140.8
652,Universidade Federal Fluminense - Niterói,140.73
653,FAMU-FSU College of Engineering,140.17
654,Rajendra Mane College of Engineering and Technology,140.0
655,University Politehnica Of Bucharest,140.0
656,Middle East Technical University,139.67
657,São Paulo State University - UNESP - Bauru,139.0
658,Amrita School of Engineering Coimbatore,138.0
659,University of Alabama in Huntsville,138.0
660,Chiba Institute of Technology,137.88
661,Universidad Metropolitana,137.86
662,Fr Conceicao Rodrigues College of Engineering,137.67
663,Technological Educational Institute of Western Macedonia,137.5
664,Polytechnic Institute of New York University,137.4
665,Shanghai Jiao Tong University,137.0
666,BITS Pilani KK Birla Goa Campus,136.0
667,Nagesh Karajagi Orchid College Of Engineering & Technology,136.0
