Rank,University,Lowest Place,#
205,Technion - Israel Institute of Technology,12th,1
206,Technische Hochschule Ostwestfalen-Lippe,12th,1
207,University of Ontario Institute of Technology,12th,1
208,University of South Australia,12th,1
209,University of Southern Denmark,12th,1
210,Università degli Studi di Napoli Federico II,12th,1
211,Università di Pisa,12th,1
212,Western Washington University,12th,1
213,Beihang University,13th,1
214,Ecole Nationale d'Ingénieurs de Metz,13th,1
215,Gadjah Mada University,13th,1
216,Indian Institute of Technology Kanpur,13th,1
217,Lund University,13th,1
218,National Institute of Technology - Karnataka,13th,1
219,Universidad Politécnica de Madrid (UPM),13th,1
220,University of California Irvine,13th,1
221,University of Florida,13th,1
222,University of Zagreb,13th,1
223,VIT University - Vellore,13th,1
224,Yıldız Technical University,13th,1
225,Birla Institute of Science and Technology Pilani - Dubai,14th,1
226,Hochschule Düsseldorf,14th,1
227,Hochschule Niederrhein,14th,1
228,Hubei University of Automotive Technology,14th,1
229,Rzeszów University of Technology,14th,1
230,Shizuoka University,14th,1
231,University of California Berkeley,14th,1
232,University of California Berkeley,14th,1
233,Universität Kassel,14th,1
234,Warsaw University of Technology,14th,1
235,Belgorod state technological university named after V. G. Shukhov,15th,1
236,Guangdong University of Technology,15th,1
237,Helmut Schmidt Universität  Universität der Bundeswehr Hamburg,15th,1
238,Istanbul Technical University,15th,1
239,Pillai College Of Engineering,15th,1
240,Texas A&M University,15th,1
241,Texas A&M University,15th,1
242,Toyohashi University of Technology,15th,1
243,Universidad de Oviedo,15th,1
244,University of Minnesota Twin Cities,15th,1
245,Universität Bremen,15th,1
246,San Diego State University,16th,2
247,California Baptist University,16th,1
248,Coventry University,16th,1
249,Kennesaw State University,16th,1
250,National Taiwan University,16th,1
251,National Tsing Hua University,16th,1
252,Universidad Nacional Autónoma de México,16th,1
253,University of North Carolina at Asheville,16th,1
254,Delhi Technological University,17th,2
255,Technische Universität Dortmund,17th,2
256,ESTACA - West (Ecole Supérieure des Techniques Aéronautiques et de Construction Automobile),17th,1
257,Guangzhou City University of Technology,17th,1
258,Moscow State Automobile & Road Technical University - MADI,17th,1
259,Moscow State Automobile & Road Technical University - MADI,17th,1
260,Ruhr-Universität Bochum,17th,1
261,Texas A&M University at Qatar,17th,1
262,Texas A&M University at Qatar,17th,1
263,Birla Institute of Technology Mesra,18th,1
264,Birla Institute of Technology Mesra,18th,1
265,Fujian Agriculture and Forestry University,18th,1
266,Heriot-Watt University,18th,1
267,Hochschule für Technik und Wirtschaft Mittweida,18th,1
268,Instituto Superior de Engenharia de Lisboa,18th,1
269,Linköping University,18th,1
270,Rajiv Gandhi Institute of Technology - Mumbai,18th,1
271,University of Malaga,18th,1
272,University of New South Wales - Australian Defence Force Academy,18th,1
273,California Institute of Technology,19th,1
274,Kookmin University,19th,1
275,Poznan University of Technology,19th,1
276,SRM Institute of Science and Technology - Kattankulathur,19th,1
277,Thakur College of Engineering and Technology,19th,1
278,Thomas More Mechelen - De Nayer,19th,1
279,University of British Columbia - Vancouver,19th,1
280,University of New Mexico,19th,1
281,University of Texas at San Antonio,19th,1
282,University of Warwick,19th,1
283,Vrije Universiteit Brussel,19th,1
284,R.V.College of Engineering,20th,2
285,Cairo University,20th,1
286,National Taipei University of Technology,20th,1
287,National Yang Ming Chiao Tung University,20th,1
288,Sophia University,20th,1
289,University of Burgundy - ISAT,20th,1
290,University of Kocaeli,20th,1
291,University of Utah,21st,2
292,Columbia University,21st,1
293,Guangxi University of Science and Technology,21st,1
294,Kanagawa Institute of Technology,21st,1
295,Salesian University School of Sarrià - EUSS,21st,1
296,University of Agder,21st,1
297,Auburn University,22nd,1
298,Friedrich-Alexander-Universität Erlangen-Nürnberg,22nd,1
299,Hochschule für Technik und Wirtschaft Berlin,22nd,1
300,Lancaster  University,23rd,1
301,University of California Riverside,23rd,1
302,University of California Riverside,23rd,1
303,Università degli studi di Trieste,23rd,1
304,Aichi Institute of Technology,24th,1
305,Concordia University,24th,1
306,Dalian University of Technology,24th,1
307,Islamic Azad University of Karaj,24th,1
308,Iwate University,24th,1
309,North Carolina State University,24th,1
310,Portland State University,24th,1
311,Ryerson University,24th,1
312,Universidad Politécnica de Cartagena,24th,1
313,Universidad Pompeu Fabra - TecnoCampus,24th,1
314,Nanyang Technological University,25th,1
315,Technical University of Cluj-Napoca,25th,1
316,University of California - Santa Cruz,25th,1
317,Hefei University of Technology,26th,1
318,Jiangsu University,27th,1
319,Northeastern University,27th,1
320,Technical University of Denmark,27th,1
321,University of Calgary,27th,1
322,Università della Calabria,27th,1
323,Nanjing Agricultural University,28th,1
324,The University of Tokyo,28th,1
325,Sepuluh Nopember Institute of Technology,29th,2
326,University of Twente,29th,1
327,Pennsylvania State University,30th,1
328,Shizuoka Institute of Science and Technology,30th,1
329,VIT University - Chennai,30th,1
330,Brunel University London,31st,1
331,Chongqing University of Technology,31st,1
332,Silesian University of Technology,31st,1
333,The Hague University of Applied Sciences,31st,1
334,Liverpool John Moores University,32nd,1
335,McMaster University,32nd,1
336,University of California Los Angeles,32nd,1
337,University of California Los Angeles,32nd,1
338,Hanze University of Applied Sciences Groningen,33rd,1
339,Shanghai University of Engineering Science,33rd,1
340,Taiyuan University of Technology,33rd,1
341,The Hong Kong Polytechnic University,33rd,1
342,University of Belgrade,33rd,1
343,National Cheng Kung University,34th,1
344,University of Sussex,34th,1
345,Università degli Studi di Cassino e del Lazio Meridionale,34th,1
346,Dalhousie University,35th,1
347,Ningbo University,35th,1
348,Northwestern University,35th,1
349,Rensselaer Polytechnic Institute,35th,1
350,Rutgers The State University of New Jersey,35th,1
351,Rutgers The State University of New Jersey,35th,1
352,University of Missouri,35th,1
353,University of West Attica,35th,1
354,Karlstad University,36th,1
355,Northwestern Polytechnical University,36th,1
356,University College Dublin,36th,1
357,Zhejiang University of Water Resources and Electric Power,36th,1
358,Guangxi Science and Technology University Lushan College,37th,1
359,Tohoku University,37th,1
360,University of Colorado - Colorado Springs,37th,1
361,University of Malta,37th,1
