uni,date,event,total
Hochschule Aalen - Technik und Wirtschaft,2017,Italy,440
University of Adelaide,2022,Australia,440
Karlsruhe Institute of Technology,2012,Austria,440
TU Delft,2018,Austria,440
Universidade de Lisboa - Instituto Superior Técnico,2015,Italy,439
Technische Universiteit Eindhoven,2017,Spain,438
Norwegian University of Science and Technology,2019,Germany,438
Deggendorf Institute of Technology,2018,Spain,437
Alma Mater Studiorum - Università di Bologna,2022,Italy,437
Technische Universität Wien,2016,Austria,436
Technische Universität Dresden,2018,Spain,436
Leibniz Universität Hannover,2018,Spain,436
ETH Zürich,2019,Spain,435
Tallinn TU UAS,2018,Germany,435
Technische Universität Dresden,2019,Austria,434
University of the Basque Country,2014,Spain,433
Imperial College London,2011,United Kingdom,433
Technische Universität Graz,2021,East,433
University of Ljubljana,2021,Italy,433
Slovak University of Technology in Bratislava,2022,Alpe Adria,433
KU Leuven - Group T Campus,2012,Germany,430
Deggendorf Institute of Technology,2015,Austria,429
TU Delft,2021,Germany,429
ETH Zürich,2019,Netherlands,429
Tallinn TU UAS,2022,Germany,429
Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),2015,Italy,429
RMIT University,2018,Australia,428
Technical University of Munich,2017,Austria,427
ETH Zürich,2021,Germany,427
Technische Universität Dresden,2018,Austria,426
Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),2019,East,425
École de Technologie Superieure,2022,Michigan,424
Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),2019,Spain,424
Technische Universität Dresden,2019,Germany,424
University of Western Australia,2022,Australia,422
Technische Universität Kaiserslautern,2017,Germany,422
Hochschule für angewandte Wissenschaften Augsburg,2021,Netherlands,422
Leibniz Universität Hannover,2015,Czech Republic,421
Technische Universität Bergakademie Freiberg,2017,Spain,421
Politecnico di Torino,2022,Italy,421
Universidade de Lisboa - Instituto Superior Técnico,2022,Germany,421
Technische Hochschule Ingolstadt,2014,Germany,418
Norwegian University of Science and Technology,2018,Austria,418
Hochschule Bonn-Rhein-Sieg,2017,Germany,417
Norwegian University of Science and Technology,2014,Germany,417
Technische Universität Darmstadt,2016,Germany,417
UAS Würzburg-Schweinfurt,2022,Czech Republic,416
Georg-Simon-Ohm-Hochschule Nürnberg,2022,Spain,416
University of Canterbury,2022,Australia,416
Westsächsische Hochschule Zwickau,2012,Germany,415
Norwegian University of Science and Technology,2017,Spain,415
Technische Universiteit Eindhoven,2015,Austria,414
TU Delft,2017,Germany,414
Universität Stuttgart,2019,Austria,414
Rheinisch-Westfälische Technische Hochschule Aachen,2018,Austria,413
Universität Stuttgart,2016,United Kingdom,412
Technische Hochschule Ingolstadt,2016,Austria,412
Technische Universiteit Eindhoven,2014,Spain,412
Fachhochschule München,2017,Austria,412
Universidade de Lisboa - Instituto Superior Técnico,2012,United Kingdom,411
Aristotle University of Thessaloniki,2018,Italy,411
Hochschule Mannheim,2015,Czech Republic,411
Hochschule für angewandte Wissenschaften Augsburg,2021,Austria,409
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2022,Alpe Adria,409
Duale Hochschule Baden-Württemberg - Mannheim,2021,Austria,409
University of Seville,2021,Spain,408
ETH Zürich,2019,Germany,408
Technische Universität Hamburg,2022,East,407
Universität Bayreuth,2012,Germany,406
TU Delft,2022,Germany,406
Fachhochschule Kiel,2021,Germany,404
Tohoku University,2017,Japan,403
Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,2018,Germany,402
Politecnico di Torino,2019,Spain,399
Fachhochschule Kiel,2013,Germany,397
Tongji University,2017,Japan,396
Politecnico di Milano,2022,Germany,396
Westsächsische Hochschule Zwickau,2022,United Kingdom,396
Czech Technical University in Prague,2018,East,395
Technische Universiteit Eindhoven,2011,Austria,395
Fachhochschule München,2022,Spain,393
Technische Universität Dresden,2017,Germany,393
Hochschule Aalen - Technik und Wirtschaft,2015,Italy,393
GFR DHBW Ravensburg &amp; Oregon State University,2022,Germany,393
GFR DHBW Ravensburg &amp; Oregon State University,2016,Germany,392
Technische Universität Darmstadt,2017,Spain,391
The University of Newcastle,2019,Australia,391
KU Leuven - Group T Campus,2014,Spain,391
Technische Universiteit Eindhoven,2017,Austria,391
Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,2021,Germany,391
Duale Hochschule Baden-Württemberg Stuttgart,2013,Germany,391
Leibniz Universität Hannover,2019,Netherlands,390
Rheinisch-Westfälische Technische Hochschule Aachen,2016,Germany,390
Helsinki Metropolia University of Applied Sciences,2017,East,390
Duale Hochschule Baden-Württemberg Stuttgart,2016,Germany,389
Fachhochschule Joanneum Graz,2022,Austria,389
Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,2017,Austria,389
University of Ljubljana,2021,Spain,389
Hochschule Bonn-Rhein-Sieg,2015,Austria,389
Iwate University,2016,Japan,389
Universität Paderborn,2022,Czech Republic,388
Technische Universität Dresden,2012,Germany,388
Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,2021,Spain,388
Norwegian University of Science and Technology,2015,United Kingdom,388
Budapest University of Technology and Economics,2019,Italy,388
University of the Basque Country,2017,United Kingdom,386
Westsächsische Hochschule Zwickau,2016,Austria,386
Karlsruhe Institute of Technology,2013,United Kingdom,386
Budapest University of Technology and Economics,2012,Hungary,386
Westsächsische Hochschule Zwickau,2014,United Kingdom,385
University of Texas at Austin,2022,Michigan,384
Technische Universität Hamburg,2015,Hungary,384
Technische Hochschule Köln,2013,Spain,384
Budapest University of Technology and Economics,2014,Hungary,382
University of Queensland,2022,Australia,382
Technische Hochschule Ingolstadt,2013,Germany,379
Toyota Technical College Nagoya,2016,Japan,378
Università degli studi di Padova,2022,East,378
Technische Universität Hamburg,2018,Germany,378
Universität Siegen,2015,Germany,378
Fachhochschule Kiel,2012,Austria,378
Westsächsische Hochschule Zwickau,2014,Germany,376
GFR DHBW Ravensburg &amp; Oregon State University,2012,Austria,375
ETH Zürich,2021,Netherlands,375
Universidade de Lisboa - Instituto Superior Técnico,2019,Spain,375
University of the Basque Country,2018,United Kingdom,375
Hochschule Bonn-Rhein-Sieg,2019,Germany,375
University of Bath,2022,United Kingdom,374
Technical University of Munich,2014,Germany,374
Technische Hochschule Köln,2013,Germany,374
Politecnico di Milano,2022,East,374
Hochschule RheinMain,2012,Spain,374
Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,2022,Germany,373
Technical University of Munich,2011,Austria,372
University of Bath,2019,Spain,372
Università degli studi di Padova,2022,Italy,372
Technische Universität Wien,2016,Germany,371
Technische Universität Darmstadt,2013,Germany,371
Georg-Simon-Ohm-Hochschule Nürnberg,2021,Austria,371
Ulm University of Applied Sciences,2022,Alpe Adria,370
Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),2019,Germany,370
Universität Stuttgart,2022,Netherlands,370
KU Leuven - Group T Campus,2019,Czech Republic,370
Technische Universität Dresden,2016,Germany,370
UAS Würzburg-Schweinfurt,2022,Alpe Adria,370
Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,2022,Spain,370
École Polytechnique Fédérale de Lausanne,2021,East,370
Westsächsische Hochschule Zwickau,2018,Austria,370
University of Queensland,2018,Australia,369
Tallinn TU UAS,2016,United Kingdom,369
Technische Universität Hamburg,2021,Austria,368
Deggendorf Institute of Technology,2011,Germany,368
GFR DHBW Ravensburg &amp; Oregon State University,2013,Germany,367
ETH Zürich,2022,Austria,366
Norwegian University of Science and Technology,2016,Germany,366
Technische Hochschule Köln,2015,United Kingdom,366
Czech Technical University in Prague,2016,Czech Republic,366
Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,2018,Spain,365
KTH Royal Institute of Technology,2016,Italy,364
Hochschule für angewandte Wissenschaften Augsburg,2014,Germany,363
Technische Universität Darmstadt,2022,Germany,363
Universität Siegen,2022,Czech Republic,363
University of Melbourne,2018,Australia,362
Curtin University,2022,Australia,361
University of the Basque Country,2013,Spain,361
Toyota Technical College Nagoya,2018,Japan,361
Karlsruhe Institute of Technology,2018,Spain,361
Technische Universität Wien,2017,Spain,360
Università degli studi di Padova,2019,Italy,360
Georg-Simon-Ohm-Hochschule Nürnberg,2015,Italy,360
Slovak University of Technology in Bratislava,2017,Czech Republic,359
National Tsing Hua University,2022,Germany,358
Technische Universiteit Eindhoven,2012,United Kingdom,358
Hochschule RheinMain,2015,Spain,357
Swinburne University of Technology,2013,Australia,357
Universidade de Lisboa - Instituto Superior Técnico,2017,Spain,357
TU Delft,2021,Austria,357
University of Bath,2021,United Kingdom,356
Shizuoka Institute of Science and Technology,2013,Japan,356
University of Zagreb,2021,East,356
Duale Hochschule Baden-Württemberg Stuttgart,2015,Spain,355
Aristotle University of Thessaloniki,2017,Italy,355
Czech Technical University in Prague,2021,Germany,355
Westsächsische Hochschule Zwickau,2015,Germany,355
University of the Basque Country,2021,Spain,355
University of Wisconsin-Madison,2019,Lincoln,355
Deggendorf Institute of Technology,2012,Spain,355
Technische Universität Bergakademie Freiberg,2016,Spain,354
University of Ljubljana,2019,Netherlands,354
Karlsruhe Institute of Technology,2014,Germany,353
Czech Technical University in Prague,2015,Hungary,352
Fachhochschule München,2016,Germany,351
University of Melbourne,2019,Australia,351
Deggendorf Institute of Technology,2010,Germany,351
Chalmers University of Technology,2015,Germany,351
Technische Universität Ilmenau,2014,Germany,350
University of Southampton,2022,United Kingdom,350
Western University,2019,Lincoln,350
Toyohashi University of Technology,2019,Japan,349
University of Ljubljana,2021,Austria,348
Technische Universität Wien,2022,Germany,348
University of the Basque Country,2022,United Kingdom,347
Norwegian University of Science and Technology,2021,Germany,346
Technische Universität Darmstadt,2014,Germany,346
Hochschule Bonn-Rhein-Sieg,2022,Spain,346
University of Patras,2016,Italy,346
Czech Technical University in Prague,2015,Italy,344
University of Southern Denmark,2013,Hungary,344
University Of Hertfordshire,2010,Germany,344
Leibniz Universität Hannover,2012,Spain,344
Technische Universität Dresden,2022,Germany,344
KTH Royal Institute of Technology,2015,United Kingdom,344
Technical University of Munich,2017,Germany,343
Universidade de Lisboa - Instituto Superior Técnico,2022,Spain,342
Slovak University of Technology in Bratislava,2015,Czech Republic,342
University of Technology Sydney,2018,Australia,342
Università degli Studi di Roma La Sapienza,2022,Italy,341
Karlsruhe Institute of Technology,2021,Austria,341
Deggendorf Institute of Technology,2016,Germany,340
Deggendorf Institute of Technology,2017,Czech Republic,340
Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,2021,Austria,340
Technische Universität Braunschweig,2013,Germany,339
Universität Bayreuth,2021,Germany,339
Università degli Studi di Parma,2021,East,338
Technische Universität Kaiserslautern,2019,East,337
Technische Universität Ilmenau,2012,Italy,337
San José State University,2022,Michigan,337
Technische Universiteit Eindhoven,2016,United Kingdom,336
Fachhochschule München,2018,Germany,335
Universität Bayreuth,2014,Austria,335
University of Tasmania,2022,Australia,335
University of Ljubljana,2019,East,334
Hochschule Landshut,2014,Italy,334
Universidade Estadual de Campinas,2018,Lincoln,334
Technische Universität Darmstadt,2013,Austria,334
Saarland University,2015,Czech Republic,334
Ulm University of Applied Sciences,2022,Germany,333
Swinburne University of Technology,2012,Australia,333
Technische Universiteit Eindhoven,2013,Germany,331
University Of Hertfordshire,2022,United Kingdom,331
Georg-Simon-Ohm-Hochschule Nürnberg,2021,East,331
Slovak University of Technology in Bratislava,2012,Spain,330
Technische Universität Wien,2014,Austria,330
Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),2022,Spain,330
Hochschule Bonn-Rhein-Sieg,2015,Spain,329
Norwegian University of Science and Technology,2017,Germany,329
Universität Stuttgart,2013,Germany,329
Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),2017,Spain,328
UAS Würzburg-Schweinfurt,2022,East,328
Technische Universität Wien,2019,Spain,328
Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,2018,Italy,327
Technische Universität Graz,2022,Austria,327
Helsinki Metropolia University of Applied Sciences,2019,East,327
University of the Basque Country,2017,Spain,326
RMIT University,2011,Australia,325
Oxford Brookes University,2022,United Kingdom,325
Czech Technical University in Prague,2022,East,324
KU Leuven - Group T Campus,2016,Spain,324
Hochschule für angewandte Wissenschaften Augsburg,2022,Netherlands,324
Rheinisch-Westfälische Technische Hochschule Aachen,2021,Netherlands,324
Universität Paderborn,2022,East,323
KU Leuven - Group T Campus,2012,Italy,323
Universität Stuttgart,2021,Austria,322
Technische Universität Darmstadt,2019,Spain,322
Technische Universität Hamburg,2015,Italy,322
Leibniz Universität Hannover,2016,Spain,322
University of Southern Denmark,2012,Germany,321
Universität Siegen,2012,Germany,321
Technische Universität Clausthal,2015,Italy,321
Politecnico di Torino,2016,Italy,321
Fachhochschule für Wirtschaft und Technik,2012,Germany,321
University of Strathclyde,2022,United Kingdom,321
Politecnico di Torino,2014,Italy,321
Technische Universität Wien,2018,Austria,321
University of Ljubljana,2019,Austria,319
Budapest University of Technology and Economics,2022,Austria,319
Technical University of Munich,2021,East,319
Fachhochschule Kiel,2016,Spain,319
Fachhochschule Joanneum Graz,2022,Netherlands,318
Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),2022,Netherlands,318
Fachhochschule Osnabrück,2016,Germany,317
Ostfalia University of Applied Sciences,2019,Austria,316
Norwegian University of Science and Technology,2022,East,316
University of the Basque Country,2016,Spain,315
Universität Paderborn,2021,East,314
UAS Würzburg-Schweinfurt,2021,Czech Republic,313
Fachhochschule Kiel,2022,Germany,312
Chalmers University of Technology,2022,Austria,312
Universidade de Lisboa - Instituto Superior Técnico,2017,Czech Republic,312
ETH Zürich,2019,Austria,310
Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,2015,Spain,309
Technische Universität Wien,2022,Austria,309
Westsächsische Hochschule Zwickau,2016,Germany,309
Czech Technical University in Prague,2013,Hungary,309
Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),2019,Netherlands,308
École Polytechnique Fédérale de Lausanne,2022,Spain,308
Fachhochschule München,2012,Germany,308
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2022,Czech Republic,308
Technische Universität Braunschweig,2014,Austria,308
Universität Bayreuth,2022,Netherlands,308
Karlsruhe Institute of Technology,2019,East,307
Fachhochschule für Wirtschaft und Technik,2014,Italy,307
TU Delft,2021,Netherlands,306
Technical University of Munich,2012,Hungary,306
Hochschule RheinMain,2013,Spain,306
Hochschule für angewandte Wissenschaften Augsburg,2013,Germany,305
Technische Universität Graz,2022,East,305
Westsächsische Hochschule Zwickau,2017,Spain,304
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2019,Spain,303
Technical University of Munich,2021,Netherlands,303
KU Leuven - Group T Campus,2013,United Kingdom,302
GFR DHBW Ravensburg &amp; Oregon State University,2011,Austria,302
Technische Universität Hamburg,2019,East,302
Technische Universität Darmstadt,2019,Germany,302
Technical University of Munich,2017,East,300
Hochschule Esslingen,2013,Spain,300
Deggendorf Institute of Technology,2016,Spain,300
Technische Universität Kaiserslautern,2013,Spain,299
Fachhochschule für Wirtschaft und Technik,2011,Germany,299
Hochschule Mannheim,2022,Alpe Adria,298
KU Leuven - Group T Campus,2017,Czech Republic,298
Universidade de Lisboa - Instituto Superior Técnico,2019,East,298
Georg-Simon-Ohm-Hochschule Nürnberg,2016,Austria,298
GFR DHBW Ravensburg &amp; Oregon State University,2022,East,298
Hefei University of Technology,2014,United Kingdom,297
KU Leuven - Group T Campus,2015,Germany,297
Technical University of Munich,2022,Austria,296
École Polytechnique Fédérale de Lausanne,2021,Czech Republic,296
Virginia Polytechnic Institute and State University,2017,Lincoln,295
Hochschule Bonn-Rhein-Sieg,2018,Germany,295
Escola d'Enginyeria de Barcelona Est. EEBE,2017,Czech Republic,295
University of Adelaide,2018,Australia,294
Technische Hochschule Köln,2012,Spain,294
Fachhochschule Kiel,2014,United Kingdom,294
Indian Institute of Technology Delhi,2022,India,293
Technical University of Munich,2022,Spain,293
École Polytechnique Fédérale de Lausanne,2022,East,293
Università degli Studi di Parma,2022,Czech Republic,293
Hochschule Aalen - Technik und Wirtschaft,2014,Italy,293
Universität Bayreuth,2019,Germany,292
Technische Universität Darmstadt,2021,Germany,292
Universität Siegen,2022,Germany,292
Hochschule Aalen - Technik und Wirtschaft,2019,Italy,292
Deggendorf Institute of Technology,2014,Austria,292
Technische Universität Hamburg,2014,Austria,292
University of the Basque Country,2014,United Kingdom,291
KU Leuven - Group T Campus,2022,East,291
University of Wisconsin-Madison,2017,Lincoln,290
Hochschule Landshut,2012,Italy,290
University of Seville,2022,Germany,290
Czech Technical University in Prague,2022,Germany,290
Technische Universität Hamburg,2016,Germany,290
Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),2015,Spain,289
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2021,Germany,289
KU Leuven - Group T Campus,2021,Czech Republic,289
Brno University of Technology,2022,Czech Republic,288
GFR DHBW Ravensburg &amp; Oregon State University,2014,Germany,288
Politecnico di Milano,2022,Italy,287
Fachhochschule Kiel,2022,East,287
Georg-Simon-Ohm-Hochschule Nürnberg,2018,Italy,287
Fachhochschule Konstanz,2022,Spain,287
Technische Universität Darmstadt,2022,Spain,286
Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,2019,Italy,286
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2014,Austria,286
École Polytechnique de Montréal,2018,Lincoln,285
University of Southern Denmark,2014,Italy,285
ETH Zürich,2022,East,285
Technische Universität Wien,2018,Spain,284
Technische Universität Hamburg,2019,Spain,284
Slovak University of Technology in Bratislava,2013,Hungary,284
University of Technology Sydney,2022,Australia,283
Ostbayerische Technische Hochschule Regensburg,2012,Germany,283
Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,2013,Italy,283
Friedrich-Alexander-Universität Erlangen-Nürnberg,2022,Spain,282
KU Leuven - Group T Campus,2019,Germany,282
University of the Basque Country,2018,Spain,282
Ostbayerische Technische Hochschule Regensburg,2013,Austria,282
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2014,Germany,281
Technische Universität Wien,2014,Germany,281
Technische Universität Berlin,2022,Germany,280
University of Seville,2022,East,280
Technische Universität Clausthal,2015,Czech Republic,280
Rheinisch-Westfälische Technische Hochschule Aachen,2014,Germany,280
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2019,Czech Republic,280
Ostfalia University of Applied Sciences,2015,Germany,280
Norwegian University of Science and Technology,2021,East,279
University of Iceland,2016,Italy,279
Technische Universität Bergakademie Freiberg,2013,Germany,278
Chalmers University of Technology,2021,Spain,277
Indian Institute of Technology Bombay,2022,India,277
University of Bath,2022,Italy,277
Western University,2019,Canada,277
Università degli studi di Padova,2018,Italy,277
Dwarkadas. J. Sanghvi College of Engineering,2022,India,277
Helsinki Metropolia University of Applied Sciences,2019,Germany,277
Technische Universität Wien,2021,Austria,276
University of Pennsylvania,2022,Michigan,276
Technische Hochschule Köln,2012,Germany,276
Hochschule für Angewandte Wissenschaften Hamburg,2022,Spain,276
McGill University,2019,Canada,276
Universidade de Lisboa - Instituto Superior Técnico,2017,Germany,276
Helsinki Metropolia University of Applied Sciences,2013,Austria,275
Deggendorf Institute of Technology,2021,East,275
Hochschule Esslingen,2019,Czech Republic,275
KU Leuven - Group T Campus,2013,Austria,275
Universität Bayreuth,2022,Germany,274
Norwegian University of Science and Technology,2022,Netherlands,273
Technische Universität Hamburg,2017,Austria,273
Rheinisch-Westfälische Technische Hochschule Aachen,2018,Germany,273
Moscow State Automobile &amp; Road Technical University - MADI,2016,East,273
Yıldız Technical University,2022,Italy,273
Fachhochschule Kiel,2014,Germany,273
Hochschule RheinMain,2022,Spain,273
Hochschule Pforzheim,2022,East,273
University of Southern Denmark,2013,United Kingdom,272
Technische Universität Dresden,2022,Austria,272
McGill University,2022,Michigan,272
Technische Universität Kaiserslautern,2016,Spain,272
Hochschule RheinMain,2014,Austria,271
Fachhochschule Konstanz,2022,Germany,271
University of Bath,2022,Spain,271
Indian Institute of Technology Bombay,2022,United Kingdom,271
University of Applied Sciences Ravensburg-Weingarten,2022,Spain,270
Technische Universität Wien,2017,Germany,270
Technische Universiteit Eindhoven,2016,Germany,270
Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,2014,Spain,270
Hochschule für angewandte Wissenschaften Augsburg,2014,Austria,270
University of Manitoba,2018,Lincoln,269
Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,2022,Spain,269
UAS Würzburg-Schweinfurt,2022,Germany,269
Saarland University,2014,Italy,269
Deggendorf Institute of Technology,2014,Germany,269
Leibniz Universität Hannover,2016,Italy,269
Università degli Studi di Trento,2022,Italy,268
Hochschule Bonn-Rhein-Sieg,2021,Netherlands,267
University of the Basque Country,2022,Spain,267
Karlsruhe Institute of Technology,2015,United Kingdom,267
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2022,Spain,267
Universidade de Lisboa - Instituto Superior Técnico,2018,Italy,267
Politecnico di Torino,2022,Alpe Adria,266
Rheinisch-Westfälische Technische Hochschule Aachen,2017,East,266
Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),2021,Netherlands,266
KU Leuven - Group T Campus,2019,Netherlands,266
Leibniz Universität Hannover,2017,Spain,266
University of Patras,2013,Italy,266
Fachhochschule Kiel,2017,Italy,266
KU Leuven - Group T Campus,2015,United Kingdom,265
Technische Universität Dresden,2022,Netherlands,265
Università degli studi di Padova,2021,East,265
Fachhochschule München,2011,Germany,265
Leibniz Universität Hannover,2021,Germany,265
Hochschule Esslingen,2015,Spain,265
Technische Universität Bergakademie Freiberg,2014,Germany,265
Universidade de Lisboa - Instituto Superior Técnico,2013,Hungary,264
Fachhochschule Kiel,2017,Czech Republic,264
Heriot-Watt University,2022,United Kingdom,264
Technische Universität Darmstadt,2022,Italy,263
KU Leuven - Group T Campus,2021,East,263
Indian Institute of Technology Delhi,2022,Italy,262
Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,2022,Germany,262
Escola d'Enginyeria de Barcelona Est. EEBE,2016,Spain,262
University of Patras,2018,Germany,261
Technische Hochschule Ingolstadt,2016,Germany,261
Shizuoka Institute of Science and Technology,2014,Japan,261
Ostbayerische Technische Hochschule Regensburg,2019,Spain,261
Hochschule Esslingen,2019,Italy,260
Universidade de Lisboa - Instituto Superior Técnico,2018,Spain,260
University of Pennsylvania,2018,Lincoln,260
KU Leuven - Group T Campus,2019,Italy,260
Fachhochschule Kiel,2019,Spain,260
Czech Technical University in Prague,2019,Spain,259
Niigata Institute of Technology,2013,Japan,259
Technische Universität Wien,2021,Netherlands,259
California State Polytechnic University - San Luis Obispo,2022,Michigan,258
University of the Basque Country,2015,United Kingdom,258
Università degli studi di Padova,2019,Germany,258
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2021,Austria,257
Escola d'Enginyeria de Barcelona Est. EEBE,2017,Spain,257
Technische Universität Darmstadt,2014,United Kingdom,256
Universidade de Lisboa - Instituto Superior Técnico,2021,Germany,256
Ostfalia University of Applied Sciences,2021,Austria,255
TECNUN - University of Navarra,2022,Spain,255
Hochschule Esslingen,2021,Czech Republic,255
MIT World Peace University,2022,India,254
Technische Universität Wien,2017,East,254
COEP Technological University ,2022,India,254
Aristotle University of Thessaloniki,2019,Germany,254
Università degli Studi di Roma La Sapienza,2022,Spain,254
Technische Universität Darmstadt,2017,Germany,254
National Technical University of Athens,2022,East,253
Toyota Technical College Nagoya,2019,Japan,253
National Technical University of Athens,2021,Netherlands,252
Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,2021,Spain,252
Swinburne University of Technology,2019,Australia,251
Universidade de Lisboa - Instituto Superior Técnico,2011,Germany,251
École Polytechnique Fédérale de Lausanne,2022,Germany,251
Helsinki Metropolia University of Applied Sciences,2013,Hungary,251
Leibniz Universität Hannover,2019,Austria,251
University Of Hertfordshire,2022,Italy,251
Fachhochschule München,2022,East,251
University of Wisconsin-Madison,2022,Michigan,251
Duale Hochschule Baden-Württemberg - Mannheim,2022,Germany,250
Deggendorf Institute of Technology,2015,Spain,250
Politecnico di Torino,2021,Spain,250
Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,2021,Netherlands,250
Technische Universität Dresden,2014,Austria,250
Jilin University,2019,Japan,250
Università degli Studi di Trento,2018,Italy,249
Technische Universität Chemnitz,2021,Spain,249
Leibniz Universität Hannover,2019,Spain,249
Technische Universiteit Eindhoven,2015,Germany,249
University of Auckland,2016,Australia,249
University of Washington,2022,Michigan,249
Helsinki Metropolia University of Applied Sciences,2015,Germany,249
Smt. Kashibai Navale College of Engineering,2022,India,248
Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,2019,Germany,248
Technische Universität Dresden,2015,United Kingdom,248
Swinburne University of Technology,2011,Australia,247
Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,2013,Germany,247
Indian Institute of Technology Bombay,2019,United Kingdom,247
Universität Bayreuth,2019,Netherlands,247
Leopold-Franzens-Universität Innsbruck,2022,Austria,246
Rheinisch-Westfälische Technische Hochschule Aachen,2017,Austria,246
University of Bath,2019,United Kingdom,246
Rheinisch-Westfälische Technische Hochschule Aachen,2019,Austria,246
California State Polytechnic University - San Luis Obispo,2017,Lincoln,245
Technische Hochschule Köln,2016,Italy,245
The University of Akron,2019,Canada,245
Fachhochschule München,2022,Germany,245
Universidade de Lisboa - Instituto Superior Técnico,2016,United Kingdom,244
Deggendorf Institute of Technology,2016,Austria,244
Swinburne University of Technology,2015,Australia,243
Technische Hochschule Köln,2012,United Kingdom,243
Bern University of Applied Sciences,2022,Alpe Adria,243
Czech Technical University in Prague,2021,Czech Republic,243
University of Manitoba,2019,Lincoln,243
Fachhochschule Kiel,2016,Italy,243
Hochschule für angewandte Wissenschaften Augsburg,2019,Netherlands,243
University of the Basque Country,2015,Spain,242
Technische Universität Braunschweig,2012,Italy,242
Technische Hochschule Köln,2018,Spain,242
Duale Hochschule Baden-Württemberg Stuttgart,2012,Germany,242
KU Leuven - Group T Campus,2016,Germany,242
UAS Kempten,2022,Spain,241
KU Leuven - Group T Campus,2014,Germany,241
Technische Universität Bergakademie Freiberg,2017,Germany,241
Technische Universität Kaiserslautern,2019,Netherlands,240
Politecnico di Torino,2017,Spain,240
Escola d'Enginyeria de Barcelona Est. EEBE,2019,Italy,240
Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,2016,Italy,240
Technische Universität Ilmenau,2021,Czech Republic,239
Universidade de Lisboa - Instituto Superior Técnico,2015,Spain,239
UAS Würzburg-Schweinfurt,2019,Czech Republic,239
Università degli studi di Padova,2021,Germany,239
Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,2014,Germany,238
Hochschule Bonn-Rhein-Sieg,2015,Germany,238
Aristotle University of Thessaloniki,2022,Austria,238
Karlsruhe Institute of Technology,2018,Austria,238
Chalmers University of Technology,2015,United Kingdom,238
Hochschule Mannheim,2017,Czech Republic,238
Technische Universität Darmstadt,2012,Germany,237
Fachhochschule für Wirtschaft und Technik,2019,East,236
Universidade de Lisboa - Instituto Superior Técnico,2013,Spain,236
