Rank,University,#,Position
225,Poznan University of Technology,2,30.0
226,UAS Kempten,3,30.0
227,Universidad Politécnica de Cartagena,3,30.0
228,University of Sussex,1,30.0
229,VIT University - Chennai,1,30.0
230,Hochschule Darmstadt UAS,3,30.33
231,McMaster University,1,31.0
232,University of Applied Sciences Ravensburg-Weingarten,3,31.0
233,Instituto Superior de Engenharia de Lisboa,2,34.0
234,Technion - Israel Institute of Technology,1,34.0
235,Texas A&amp;M University,1,34.0
236,Tongji University,4,34.25
237,University of Iceland,12,34.5
238,Toyohashi University of Technology,2,35.0
239,University of Birmingham,1,35.0
240,Guangxi Science and Technology University Lushan College,1,36.0
241,Hubei University of Automotive Technology,1,36.0
242,University of Colorado - Colorado Springs,1,36.0
243,VIT University - Vellore,4,36.5
244,Ain Shams University,1,37.0
245,California Baptist University,1,37.0
246,Universidad de Castilla-La Mancha,1,37.0
247,Universidad Politécnica de Madrid (UPM),7,37.14
248,University of La Laguna,1,38.0
249,Universität der Bundeswehr München,1,38.0
250,Drexel University,1,39.0
251,Liverpool John Moores University,1,39.0
252,Technische Universität Dortmund,2,39.0
253,University of Nottingham,4,39.25
254,University of Warwick,3,39.33
255,Cairo University,2,39.5
256,Ruhr-Universität Bochum,2,40.0
257,University of Maryland,1,40.0
258,University of Southern Denmark,12,40.0
259,Rutgers The State University of New Jersey,1,41.0
260,Technical University of Denmark,1,41.0
261,University College Dublin,1,41.0
262,University of Cincinnati,1,42.0
263,Zürcher Hochschule für Angewandte Wissenschaften,2,42.0
264,University of Southern California,1,43.0
265,Loughborough University,1,45.0
266,Indian Institute of Technology Bombay,9,45.44
267,University of Oxford,1,48.0
268,Universidad Politecnica Salesiana,1,49.0
269,University of Surrey,4,49.5
270,Lancaster  University,4,50.0
271,Iwate University,4,50.5
272,University of Stavanger,8,52.88
273,Imperial College London,4,55.5
274,Pakistan Institute of Engineering &amp; Applied Sciences,1,56.0
275,Jilin University,1,57.0
276,Shizuoka Institute of Science and Technology,6,57.17
277,Thomas More Mechelen - De Nayer,5,57.2
278,Kanagawa Institute of Technology,3,58.0
279,Toyota Technical College Nagoya,7,59.71
280,Niigata Institute of Technology,2,60.0
281,Harbin Institute of Technology at Weihai,3,60.67
282,Central South University - Changsha,1,61.0
283,Coventry University,1,61.0
284,Tohoku University,7,61.86
285,Guangdong University of Technology,1,62.0
286,The Hague University of Applied Sciences,1,62.0
287,Brunel University London,1,65.0
288,Daido Institute of Technology,1,65.0
289,Newcastle University,2,67.5
290,King Mongkut's University of Technology Thonburi,1,72.0
291,Kanagawa University,3,72.33
292,Seikei University,1,74.0
293,Sepuluh Nopember Institute of Technology,1,77.0
294,National Cheng Kung University,1,80.0
295,Gadjah Mada University,2,81.0
296,Kyushu Institute of Technology,1,81.0
297,National Taipei University of Technology,1,82.0
298,University of Bristol,2,82.5
299,Kingston University,3,82.67
300,Rajshahi University of Engineering &amp; Technology,1,87.0
301,University of Leicester,2,96.0
