Rank,University,#,Points
219,University of Utah,2,140.5
220,Hochschule für Angewandte Wissenschaften Hof,8,139.38
221,California Institute of Technology,2,138.5
222,Universität Kassel,6,138.33
223,Moscow State Automobile &amp; Road Technical University - MADI,8,137.25
224,Belgorod state technological university named after V. G. Shukhov,1,136.0
225,University of Stavanger,8,135.12
226,Universität Bremen,8,135.12
227,Universidad Pontificia Comillas,5,135.0
228,Texas A&amp;M University,1,134.0
229,University of Iowa,1,134.0
230,Manchester Metropolitan University,1,133.0
231,Universidad Politecnica Salesiana,1,133.0
232,R.V.College of Engineering,1,132.0
233,Hochschule Ruhr West - UAS,5,131.6
234,Liverpool John Moores University,1,131.0
235,SRM Institute of Science and Technology - Kattankulathur,1,131.0
236,University of Ontario Institute of Technology,2,129.0
237,King Mongkut's University of Technology Thonburi,1,127.0
238,Technische Hochschule Ostwestfalen-Lippe,2,126.0
239,Instituto Superior de Engenharia de Lisboa,2,125.5
240,Harbin Institute of Technology at Weihai,3,123.67
241,University of Colorado - Colorado Springs,1,121.0
242,Università degli studi di Trieste,1,121.0
243,University of Warwick,3,120.67
244,Hochschule Darmstadt UAS,3,120.33
245,Lancaster  University,4,120.0
246,Pakistan Institute of Engineering &amp; Applied Sciences,1,120.0
247,Thomas More Mechelen - De Nayer,5,119.2
248,University of Texas at San Antonio,1,119.0
249,Universität der Bundeswehr München,1,119.0
250,Technische Universität Dortmund,2,118.5
251,San Diego State University,3,118.33
252,California Baptist University,1,117.0
253,Zürcher Hochschule für Angewandte Wissenschaften,2,116.5
254,Universidad Politécnica de Cartagena,3,113.0
255,Kanagawa University,3,109.0
256,Technical University of Denmark,1,108.0
257,Queensland University of Technology,4,107.5
258,University of New South Wales - Australian Defence Force Academy,1,105.0
259,Ghent University,2,104.0
260,Newcastle University,2,102.5
261,University of Burgundy - ISAT,1,101.0
262,Vrije Universiteit Brussel,1,98.0
263,Kingston University,3,97.0
264,Hubei University of Automotive Technology,1,96.0
265,Delhi Technological University,1,95.0
266,Loughborough University,1,95.0
267,Seikei University,1,94.0
268,University of South Australia,2,93.5
269,Guangxi Science and Technology University Lushan College,1,93.0
270,VIT University - Vellore,4,91.25
271,Universidad de Oviedo,3,90.0
272,University of Belgrade (Универзитет у Београду),2,87.0
273,University of California Irvine,1,84.0
274,ESTACA - West (Ecole Supérieure des Techniques Aéronautiques et de Construction Automobile),2,76.5
275,Sepuluh Nopember Institute of Technology,1,76.0
276,Daido Institute of Technology,1,75.0
277,Kanagawa Institute of Technology,3,71.67
278,University of Bristol,2,71.0
279,Drexel University,1,70.0
280,University of Maryland,1,69.0
281,Technical University of Cluj-Napoca,1,66.0
282,University of Oxford,1,66.0
283,University of Agder,1,65.0
284,Universidad de Castilla-La Mancha,1,64.0
285,University of La Laguna,1,63.0
286,Rutgers The State University of New Jersey,1,58.0
287,Gadjah Mada University,2,57.5
288,University of Leicester,2,53.0
289,National Cheng Kung University,1,52.0
290,University of Cincinnati,1,51.0
291,National Taipei University of Technology,1,43.0
292,University of Southern California,1,42.0
293,University of California - Santa Cruz,1,40.0
294,Islamic Azad University of Karaj,1,38.0
295,The Hague University of Applied Sciences,1,29.0
296,Hochschule Düsseldorf,2,22.0
297,Rhein-Waal University of Applied Sciences,1,22.0
298,Brunel University London,1,17.0
299,Rajshahi University of Engineering &amp; Technology,1,12.0
300,Kyushu Institute of Technology,1,8.0
301,University of Alcalá,1,7.0
